"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"41.177.26.176","32805","41.177.202.202","53","2","346","1","90","1","256","59.981020000","0.0001","N/A","N/A"
"41.177.26.176","32818","41.177.202.202","53","2","371","1","88","1","283","60.035868000","0.0001","N/A","N/A"
"41.177.26.176","32862","41.177.202.202","53","2","346","1","90","1","256","61.249778000","0.0001","N/A","N/A"
"41.177.26.176","32874","41.177.202.202","53","2","392","1","99","1","293","61.392893000","0.0001","N/A","N/A"
"41.177.26.176","32896","41.177.202.202","53","2","319","1","87","1","232","61.611693000","0.0001","N/A","N/A"
"41.177.26.176","32918","41.177.202.202","53","2","346","1","90","1","256","61.795098000","0.0001","N/A","N/A"
"41.177.26.176","32935","41.177.202.202","53","2","407","1","90","1","317","62.273154000","0.0001","N/A","N/A"
"41.177.26.176","32982","41.177.202.202","53","2","407","1","90","1","317","63.070536000","0.0001","N/A","N/A"
"41.177.26.176","33030","41.177.202.202","53","2","407","1","90","1","317","63.880841000","0.0001","N/A","N/A"
"41.177.98.57","62802","41.177.202.202","53","2","407","1","90","1","317","0.061904000","0.0001","N/A","N/A"
"41.177.98.57","62843","41.177.202.202","53","2","346","1","90","1","256","0.599921000","0.0001","N/A","N/A"
"41.177.98.57","62881","41.177.202.202","53","2","319","1","87","1","232","1.041415000","0.0001","N/A","N/A"
"41.177.98.57","62960","41.177.202.202","53","2","351","1","96","1","255","1.881874000","0.0001","N/A","N/A"
"41.177.98.57","62963","41.177.202.202","53","2","392","1","99","1","293","1.894093000","0.0001","N/A","N/A"
"41.177.98.57","63028","41.177.202.202","53","2","407","1","90","1","317","3.109411000","0.0001","N/A","N/A"
"41.177.98.57","63136","41.177.202.202","53","2","407","1","90","1","317","5.154887000","0.0001","N/A","N/A"
"41.177.98.57","63586","41.177.202.202","53","2","390","1","98","1","292","17.988161000","0.0001","N/A","N/A"
"41.177.98.57","63610","41.177.202.202","53","2","346","1","90","1","256","18.282990000","0.0001","N/A","N/A"
"41.177.98.57","63915","41.177.202.202","53","2","346","1","90","1","256","23.271571000","0.0001","N/A","N/A"
"41.177.26.176","33058","41.177.202.202","53","2","351","1","96","1","255","64.205043000","0.0001","N/A","N/A"
"41.177.26.176","33198","41.177.202.202","53","2","346","1","90","1","256","65.672251000","0.0001","N/A","N/A"
"41.177.26.176","33255","41.177.202.202","53","2","392","1","99","1","293","66.066738000","0.0001","N/A","N/A"
"41.177.26.214","54330","41.177.202.202","53","2","323","1","89","1","234","68.299863000","0.0001","N/A","N/A"
"41.177.26.176","33484","41.177.202.202","53","2","319","1","87","1","232","73.067609000","0.0001","N/A","N/A"
"41.177.26.176","33531","41.177.202.202","53","2","392","1","99","1","293","74.214948000","0.0001","N/A","N/A"
"41.177.26.214","54430","41.177.202.202","53","2","323","1","89","1","234","76.340124000","0.0001","N/A","N/A"
"41.177.26.176","33634","41.177.202.202","53","2","319","1","87","1","232","76.627656000","0.0001","N/A","N/A"
"41.177.26.176","33697","41.177.202.202","53","2","346","1","90","1","256","78.807669000","0.0001","N/A","N/A"
"41.177.98.98","45034","41.177.202.202","53","2","308","1","91","1","217","84.596444000","0.0001","N/A","N/A"
"41.177.26.176","34016","41.177.202.202","53","2","392","1","99","1","293","86.754895000","0.0001","N/A","N/A"
"41.177.26.176","34094","41.177.202.202","53","2","346","1","90","1","256","88.329839000","0.0001","N/A","N/A"
"41.177.26.176","34242","41.177.202.202","53","2","407","1","90","1","317","92.020081000","0.0001","N/A","N/A"
"41.177.26.176","34361","41.177.202.202","53","2","371","1","88","1","283","94.769783000","0.0001","N/A","N/A"
"41.177.26.176","34411","41.177.202.202","53","2","390","1","98","1","292","95.580059000","0.0001","N/A","N/A"
"41.177.26.176","34414","41.177.202.202","53","2","346","1","90","1","256","95.611626000","0.0001","N/A","N/A"
"41.177.26.176","34452","41.177.202.202","53","2","407","1","90","1","317","96.026826000","0.0001","N/A","N/A"
"41.177.26.176","34466","41.177.202.202","53","2","390","1","98","1","292","96.401274000","0.0001","N/A","N/A"
"41.177.26.176","34479","41.177.202.202","53","2","346","1","90","1","256","96.765426000","0.0001","N/A","N/A"
"41.177.26.176","34583","41.177.202.202","53","2","346","1","90","1","256","101.522644000","0.0001","N/A","N/A"
"41.177.26.176","34610","41.177.202.202","53","2","392","1","99","1","293","102.970247000","0.0001","N/A","N/A"
"41.177.26.176","34709","41.177.202.202","53","2","390","1","98","1","292","106.912317000","0.0001","N/A","N/A"
"41.177.26.176","34762","41.177.202.202","53","2","392","1","99","1","293","109.856924000","0.0001","N/A","N/A"
"41.177.26.176","34786","41.177.202.202","53","2","392","1","99","1","293","110.634268000","0.0001","N/A","N/A"
"41.177.26.176","34802","41.177.202.202","53","2","319","1","87","1","232","111.472065000","0.0001","N/A","N/A"
"41.177.26.176","34837","41.177.202.202","53","2","392","1","99","1","293","112.562854000","0.0001","N/A","N/A"
"41.177.26.176","34886","41.177.202.202","53","2","319","1","87","1","232","113.530044000","0.0001","N/A","N/A"
"41.177.26.176","34895","41.177.202.202","53","2","392","1","99","1","293","113.781852000","0.0001","N/A","N/A"
"41.177.26.176","34922","41.177.202.202","53","2","392","1","99","1","293","114.490316000","0.0001","N/A","N/A"
"41.177.26.176","34934","41.177.202.202","53","2","346","1","90","1","256","114.802738000","0.0001","N/A","N/A"
"41.177.26.176","34977","41.177.202.202","53","2","392","1","99","1","293","115.156557000","0.0001","N/A","N/A"
"41.177.26.176","35013","41.177.202.202","53","2","392","1","99","1","293","116.459877000","0.0001","N/A","N/A"
"41.177.26.176","35018","41.177.202.202","53","2","404","1","89","1","315","116.911815000","0.0001","N/A","N/A"
"41.177.26.214","54629","41.177.202.202","53","2","348","1","90","1","258","117.618481000","0.0001","N/A","N/A"
"41.177.26.176","35067","41.177.202.202","53","2","390","1","98","1","292","118.770128000","0.0001","N/A","N/A"
"41.177.26.176","35105","41.177.202.202","53","2","346","1","90","1","256","120.058329000","0.0001","N/A","N/A"
"41.177.26.176","35162","41.177.202.202","53","2","268","1","89","1","179","121.781783000","0.0001","N/A","N/A"
"41.177.26.176","35191","41.177.202.202","53","2","404","1","89","1","315","122.016908000","0.0001","N/A","N/A"
"41.177.26.176","35202","41.177.202.202","53","2","390","1","98","1","292","122.035953000","0.0001","N/A","N/A"
"41.177.26.176","35429","41.177.202.202","53","2","407","1","90","1","317","128.370222000","0.0001","N/A","N/A"
"41.177.26.176","35568","41.177.202.202","53","2","346","1","90","1","256","131.288644000","0.0001","N/A","N/A"
"41.177.26.176","35668","41.177.202.202","53","2","319","1","87","1","232","134.246341000","0.0001","N/A","N/A"
"41.177.26.176","35715","41.177.202.202","53","2","390","1","98","1","292","135.587577000","0.0001","N/A","N/A"
"41.177.26.176","35801","41.177.202.202","53","2","319","1","87","1","232","137.748865000","0.0001","N/A","N/A"
"41.177.26.176","35836","41.177.202.202","53","2","392","1","99","1","293","138.199880000","0.0001","N/A","N/A"
"41.177.26.176","35947","41.177.202.202","53","2","404","1","89","1","315","140.402419000","0.0001","N/A","N/A"
"41.177.26.176","35971","41.177.202.202","53","2","346","1","90","1","256","141.061596000","0.0001","N/A","N/A"
"41.177.26.176","35980","41.177.202.202","53","2","392","1","99","1","293","141.309186000","0.0001","N/A","N/A"
"41.177.26.176","36043","41.177.202.202","53","2","390","1","98","1","292","142.734550000","0.0001","N/A","N/A"
"41.177.26.176","36140","41.177.202.202","53","2","392","1","99","1","293","145.150259000","0.0001","N/A","N/A"
"41.177.26.176","36153","41.177.202.202","53","2","319","1","87","1","232","145.292189000","0.0001","N/A","N/A"
"41.177.26.176","36198","41.177.202.202","53","2","346","1","90","1","256","146.498276000","0.0001","N/A","N/A"
"41.177.26.176","36212","41.177.202.202","53","2","390","1","98","1","292","147.084132000","0.0001","N/A","N/A"
"41.177.26.176","36216","41.177.202.202","53","2","390","1","98","1","292","147.194493000","0.0001","N/A","N/A"
"41.177.26.176","36237","41.177.202.202","53","2","346","1","90","1","256","147.779190000","0.0001","N/A","N/A"
"41.177.26.176","36252","41.177.202.202","53","2","390","1","98","1","292","148.088646000","0.0001","N/A","N/A"
"41.177.26.176","36261","41.177.202.202","53","2","390","1","98","1","292","148.335002000","0.0001","N/A","N/A"
"41.177.26.176","36275","41.177.202.202","53","2","390","1","98","1","292","149.191179000","0.0001","N/A","N/A"
"41.177.26.176","36330","41.177.202.202","53","2","319","1","87","1","232","149.795391000","0.0001","N/A","N/A"
"41.177.26.176","36343","41.177.202.202","53","2","404","1","89","1","315","150.133731000","0.0001","N/A","N/A"
