"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"Cisco_38:f1:0e","Cisco_30:1d:00","83629","22616621","0","0","83629","22616621","0.001809000","234.4782","N/A","771641.03"
"All-HSRP-routers_00","Cisco_38:f1:0e","90562","50274580","0","0","90562","50274580","0.000000000","234.4779","N/A","1715286.28"
"Cisco_38:f1:0f","Cisco_30:1d:00","85948","43767611","0","0","85948","43767611","0.002467000","234.4753","N/A","1493295.67"
"All-HSRP-routers_00","Cisco_38:f1:0f","82383","17114389","1","66","82382","17114323","0.001961000","234.4752","N/A","583919.34"
"Cisco_db:64:00","IPv4mcast_02","9112","599716","9112","599716","0","0","0.000236000","234.4681","20462.18","N/A"
"Oracle_24:3f:fd","Cisco_30:1d:00","45828","4943733","0","0","45828","4943733","0.018681000","234.4588","N/A","168685.79"
"All-HSRP-routers_00","Oracle_01:27:f0","67577","48487923","0","0","67577","48487923","0.013045000","234.4539","N/A","1654497.30"
"Oracle_01:27:f0","Cisco_30:1d:00","63569","47744402","0","0","63569","47744402","0.012954000","234.4527","N/A","1629135.53"
"All-HSRP-routers_00","Oracle_24:3f:fd","27024","24814607","0","0","27024","24814607","0.039146000","234.4386","N/A","846775.46"
"All-HSRP-routers_00","Oracle_24:40:1b","53236","61734806","0","0","53236","61734806","0.019122000","234.4344","N/A","2106680.62"
"All-HSRP-routers_00","IPv4mcast_02","8278","546348","8278","546348","0","0","0.017291000","234.4285","18644.42","N/A"
"Oracle_1e:e8:53","Cisco_30:1d:00","19146","3411254","0","0","19146","3411254","0.012384000","234.4272","N/A","116411.52"
"All-HSRP-routers_00","Oracle_1e:e8:53","30424","38625071","4","256","30420","38624815","0.012589000","234.4267","8.74","1318102.66"
"Ibm_53:a0:10","Cisco_30:1d:00","16699","7798148","0","0","16699","7798148","0.013580000","234.3570","N/A","266197.18"
"All-HSRP-routers_00","Ibm_53:a0:10","20768","16746856","0","0","20768","16746856","0.013152000","234.3567","N/A","571670.68"
"Cisco_67:93:20","Broadcast","856","54784","856","54784","0","0","0.096498000","234.3468","1870.19","N/A"
"Oracle_24:40:1b","Cisco_30:1d:00","4622","1202304","0","0","4622","1202304","0.062053000","234.3421","N/A","41044.41"
"Dell_ab:7f:81","Broadcast","480","47662","480","47662","0","0","0.043145000","234.3188","1627.25","N/A"
"Oracle_ad:41:2b","IPv4mcast_01","1264","80896","1264","80896","0","0","0.103753000","234.3156","2761.95","N/A"
"Cisco_63:ec:b7","PVST+","17632","1198976","17632","1198976","0","0","0.135391000","234.2992","40938.28","N/A"
"All-HSRP-routers_00","Oracle_3f:d3:8e","941","83532","3","192","938","83340","0.018437000","234.2897","6.56","2845.71"
"Oracle_3f:d3:8e","Cisco_30:1d:00","1036","73976","0","0","1036","73976","0.018749000","234.2896","N/A","2525.97"
"Intel_d5:0b:4f","Broadcast","952","93296","952","93296","0","0","0.109419000","234.2764","3185.84","N/A"
"Oracle_01:27:f0","NortelNe_2f:4c:00","7471","745945","3575","492863","3896","253082","0.191314000","234.2594","16831.36","8642.79"
"Oracle_82:f7:ba","Oracle_a1:f7:5c","1312","83968","1312","83968","0","0","0.197174000","234.1928","2868.34","N/A"
"Oracle_a1:f7:5c","Dell_50:00:ea","675","43200","9","576","666","42624","0.197111000","234.1927","19.68","1456.03"
"Oracle_a1:f7:5c","BrocadeC_a1:c5:39","674","43136","8","512","666","42624","0.197119000","234.1927","17.49","1456.03"
"Oracle_a1:f7:5c","BrocadeC_a3:25:b9","669","42816","6","384","663","42432","0.197115000","234.1927","13.12","1449.47"
"Oracle_a1:f7:5c","Netapp_18:ce:70","656","41984","0","0","656","41984","0.197233000","234.1926","N/A","1434.17"
"Oracle_a1:f7:5c","Netapp_18:ab:39","656","41984","0","0","656","41984","0.197225000","234.1926","N/A","1434.17"
"Oracle_a1:f7:5c","IPv4mcast_01","656","41984","656","41984","0","0","0.196968000","234.1926","1434.17","N/A"
"Oracle_a1:f7:5c","Netapp_47:ac:28","656","41984","0","0","656","41984","0.197035000","234.1926","N/A","1434.17"
"Oracle_a1:f7:5c","BrocadeC_35:23:27","671","42944","6","384","665","42560","0.197229000","234.1926","13.12","1453.85"
"Oracle_a1:f7:5c","Netapp_47:ad:64","656","41984","0","0","656","41984","0.197039000","234.1926","N/A","1434.17"
"Oracle_a1:f7:5c","BrocadeC_35:28:59","669","42816","6","384","663","42432","0.197242000","234.1926","13.12","1449.47"
"All-HSRP-routers_00","Oracle_12:e5:2a","6839","5683270","3","192","6836","5683078","0.197107000","234.1926","6.56","194133.48"
"All-HSRP-routers_00","Dell_4b:72:bc","1366","131862","5","320","1361","131542","0.197142000","234.1926","10.93","4493.46"
"Oracle_24:3f:6c","Oracle_a1:f7:5c","1314","84096","1312","83968","2","128","0.197217000","234.1926","2868.34","4.37"
"Cisco_30:1d:00","MS-NLB-VirtServer-Multicast_80:68:4f:08","12418","2396272","12418","2396272","0","0","0.015296000","234.1835","81859.65","N/A"
"Cisco_70:56:80","Dell_1b:19:0c","12418","794752","0","0","12418","794752","0.016292000","234.1826","N/A","27149.82"
"Cisco_70:56:80","Dell_b2:69:7a","12418","794752","0","0","12418","794752","0.016318000","234.1826","N/A","27149.82"
"Cisco_70:56:80","Broadcast","24938","1596032","24938","1596032","0","0","0.016251000","234.1826","54522.65","N/A"
"Cisco_70:56:80","Dell_ee:24:f9","12418","794752","0","0","12418","794752","0.016323000","234.1826","N/A","27149.82"
"Cisco_30:1d:00","Broadcast","6995","449936","6995","449936","0","0","0.145858000","234.1800","15370.60","N/A"
"IntelCor_36:91:3d","IPv4mcast_01","1264","80896","1264","80896","0","0","0.213732000","234.1147","2764.32","N/A"
"Ibm_b7:15:21","Cisco_30:1d:00","2693","502815","0","0","2693","502815","0.126530000","234.0981","N/A","17183.05"
"NortelNe_2f:4c:00","Broadcast","3482","222848","3482","222848","0","0","0.183439000","234.0884","7615.86","N/A"
"All-HSRP-routers_00","Oracle_24:40:23","8751","4569952","3","192","8748","4569760","0.065270000","234.0821","6.56","156176.30"
"All-HSRP-routers_00","Ibm_b7:15:21","2576","1279003","3","192","2573","1278811","0.149595000","234.0745","6.56","43706.13"
"All-HSRP-routers_00","Oracle_1e:e8:54","989","96212","2","128","987","96084","0.216290000","234.0532","4.38","3284.18"
"Oracle_1e:e8:54","Cisco_30:1d:00","1005","215353","0","0","1005","215353","0.216560000","234.0532","N/A","7360.82"
"Oracle_24:40:23","Cisco_30:1d:00","7941","1087874","0","0","7941","1087874","0.096568000","234.0514","N/A","37184.10"
"Cisco_58:be:62","Cisco_30:1d:00","10315","2266766","0","0","10315","2266766","0.433207000","234.0355","N/A","77484.52"
"Cisco_38:f1:11","Cisco_37:08:73","2726","1748676","2351","1696578","375","52098","0.228823000","234.0064","58001.09","1781.08"
"Dell_b2:69:7a","MS-NLB-VirtServer-Multicast_80:68:4f:08","518","716092","518","716092","0","0","0.031928000","234.0009","24481.69","N/A"
"Dell_ee:24:f9","MS-NLB-VirtServer-Multicast_80:68:4f:08","516","715904","516","715904","0","0","0.225322000","234.0001","24475.34","N/A"
"Vmware_5c:fb:45","Broadcast","118","10502","118","10502","0","0","0.477825000","233.9988","359.04","N/A"
"Dell_1b:19:0c","MS-NLB-VirtServer-Multicast_80:68:4f:08","518","715708","518","715708","0","0","0.165872000","233.9980","24468.86","N/A"
"Cisco_64:7c:77","Cisco_58:be:63","468","38376","234","19188","234","19188","0.486383000","233.9734","656.07","656.07"
"Cisco_64:7c:76","Cisco_58:be:62","468","38376","234","19188","234","19188","0.486332000","233.9734","656.07","656.07"
"Oracle_38:cc:c6","Cisco_30:1d:00","655","41969","0","0","655","41969","0.218709000","233.9397","N/A","1435.21"
"All-HSRP-routers_00","Oracle_38:cc:c6","656","41984","2","128","654","41856","0.218453000","233.9396","4.38","1431.34"
"All-HSRP-routers_00","Apple_9c:07:62","1356","470723","1","64","1355","470659","0.460614000","233.9357","N/A","16095.33"
"BrocadeC_a1:c5:39","Oracle_17:00:0a","282","18048","143","9152","139","8896","0.076160000","233.9234","312.99","304.24"
"Oracle_0f:07:a3","Cisco_30:1d:00","668","43124","0","0","668","43124","0.197308000","233.9230","N/A","1474.81"
"All-HSRP-routers_00","Oracle_0f:07:a3","659","42214","3","192","656","42022","0.197011000","233.9228","6.57","1437.12"
"Cisco_7b:b0:70","PVST+","819","55692","819","55692","0","0","0.080415000","233.8709","1905.05","N/A"
"All-HSRP-routers_00","Cisco_58:be:62","14087","15079718","0","0","14087","15079718","0.433717000","233.8489","N/A","515879.05"
"Ibm_b7:3b:b4","Cisco_58:be:63","12568","13938699","12568","13938699","0","0","0.433607000","233.8487","476844.95","N/A"
"All-HSRP-routers_00","Oracle_0f:07:a2","1003","90036","3","192","1000","89844","0.226976000","233.8026","6.57","3074.18"
"Oracle_0f:07:a2","Cisco_30:1d:00","1150","88637","0","0","1150","88637","0.227243000","233.8026","N/A","3032.88"
"Apple_9c:07:62","Cisco_30:1d:00","1315","92632","0","0","1315","92632","0.461094000","233.7629","N/A","3170.12"
"Oracle_17:00:0a","Oracle_17:13:e2","261","16704","261","16704","0","0","0.367083000","233.7528","571.68","N/A"
"Oracle_17:13:e2","IPv4mcast_01","1310","83840","1310","83840","0","0","0.366988000","233.7528","2869.36","N/A"
"Dell_36:c1:58","Oracle_17:13:e2","676","43264","667","42688","9","576","0.367068000","233.7528","1460.96","19.71"
"IETF-VRRP-VRID_01","IPv4mcast_12","224","14336","224","14336","0","0","0.379312000","233.6176","490.92","N/A"
"AlteonNe_4b:47:10","Broadcast","1632","104448","1632","104448","0","0","0.892753000","233.4819","3578.80","N/A"
"Cisco_30:1d:00","SuperMic_00:d2:46","221","14144","221","14144","0","0","0.425041000","233.1910","485.23","N/A"
"Oracle_12:e5:2a","Cisco_30:1d:00","4037","827427","0","0","4037","827427","0.213561000","233.1860","N/A","28386.86"
"All-HSRP-routers_00","SuperMic_00:d2:46","238","26012","8","512","230","25500","0.305426000","233.1364","17.57","875.02"
"Cisco_db:64:00","IPv4mcast_0d","278","21128","278","21128","0","0","0.044456000","233.0444","725.29","N/A"
"IntelCor_36:ed:dd","Broadcast","234","15912","234","15912","0","0","0.891143000","233.0218","546.28","N/A"
"IntelCor_36:eb:b4","Broadcast","234","15912","234","15912","0","0","0.891147000","233.0218","546.28","N/A"
"IntelCor_36:eb:b5","Broadcast","235","15976","235","15976","0","0","0.766122000","233.0218","548.48","N/A"
"IntelCor_36:ed:dc","Broadcast","234","15912","234","15912","0","0","0.766127000","233.0218","546.28","N/A"
"IntelCor_36:f0:43","Broadcast","234","15912","234","15912","0","0","0.757654000","233.0213","546.28","N/A"
"IntelCor_36:ef:a4","Broadcast","234","15912","234","15912","0","0","0.757659000","233.0213","546.28","N/A"
"IntelCor_36:f0:42","Broadcast","234","15912","234","15912","0","0","0.945156000","233.0213","546.28","N/A"
"IntelCor_36:ef:a5","Broadcast","234","15912","234","15912","0","0","0.945177000","233.0213","546.28","N/A"
"IntelCor_86:b6:b2","Broadcast","234","15912","234","15912","0","0","0.751035000","233.0168","546.30","N/A"
"IntelCor_86:ba:9a","Broadcast","237","16104","237","16104","0","0","0.751031000","233.0168","552.89","N/A"
"IETF-VRRP-VRID_36","IPv4mcast_12","702","44928","702","44928","0","0","0.601083000","233.0079","1542.54","N/A"
"All-HSRP-routers_00","HewlettP_29:b9:74","247","19369","0","0","247","19369","0.663992000","233.0065","N/A","665.01"
"HewlettP_29:b9:74","Cisco_30:1d:00","247","16822","0","0","247","16822","0.862536000","232.9723","N/A","577.65"
"Cisco_30:1d:00","IPv4mcast_0d","372","28272","372","28272","0","0","0.585333000","232.9381","970.97","N/A"
"All-HSRP-routers_00","Dell_ee:24:f9","7687","9632234","1","64","7686","9632170","1.277014000","232.6552","N/A","331208.46"
"Dell_50:00:e9","Cisco_30:1d:00","1419","247813","0","0","1419","247813","0.138515000","232.2686","N/A","8535.39"
"Oracle_17:00:0a","Netapp_47:ad:64","264","16896","131","8384","133","8512","1.506186000","232.1432","288.93","293.34"
"Dell_36:c1:58","Oracle_3f:d3:8f","284","18176","145","9280","139","8896","0.738461000","232.1097","319.85","306.61"
"Dell_36:c1:58","Oracle_38:cc:c7","283","18112","144","9216","139","8896","0.658496000","232.0997","317.66","306.63"
"BrocadeC_a3:25:b9","Oracle_17:00:0a","278","17792","141","9024","137","8768","1.146178000","232.0733","311.07","302.25"
"Oracle_17:03:da","Broadcast","52","3328","52","3328","0","0","1.784856000","232.0444","114.74","N/A"
"Oracle_17:00:0a","Netapp_18:ab:39","262","16768","130","8320","132","8448","0.736259000","232.0433","286.84","291.26"
"Vmware_5c:fb:47","Broadcast","116","10324","116","10324","0","0","1.477842000","231.9987","356.00","N/A"
"Cisco_d7:76:c0","IPv4mcast_02","95","6252","95","6252","0","0","2.176785000","231.8462","215.73","N/A"
"Cisco_30:1d:00","IPv4mcast_05","332","96880","332","96880","0","0","1.377290000","231.7886","3343.74","N/A"
"All-HSRP-routers_00","Apple_f2:f9:ca","156","14664","0","0","156","14664","0.269200000","231.2613","N/A","507.27"
"Apple_f2:f9:ca","Cisco_30:1d:00","78","9204","0","0","78","9204","0.269579000","231.2604","N/A","318.39"
"Oracle_a1:f7:5c","Oracle_17:03:da","118","7552","2","128","116","7424","1.747126000","231.2326","4.43","256.85"
"HewlettP_29:b9:74","Broadcast","243","37380","243","37380","0","0","2.929887000","231.0068","1294.51","N/A"
"HewlettP_5e:c3:de","Broadcast","252","38748","252","38748","0","0","1.094293000","231.0023","1341.91","N/A"
"Cisco_db:64:00","IPv4mcast_05","168","48712","168","48712","0","0","0.800298000","230.7600","1688.75","N/A"
"Ibm_53:9c:12","Ibm_53:a2:c1","744","378757","322","170997","422","207760","3.556787000","230.4140","5937.03","7213.45"
"Vmware_a0:68:26","IPv4mcast_23","132","19008","132","19008","0","0","1.119908000","230.3143","660.25","N/A"
"Cisco_38:f1:0e","Cisco_37:08:70","94","11844","47","5922","47","5922","2.602276000","230.2929","205.72","205.72"
"Cisco_38:f1:0f","Cisco_37:08:71","94","11844","47","5922","47","5922","2.602464000","230.2929","205.72","205.72"
"Dell_93:5d:00","Cisco_30:1d:00","154","14975","0","0","154","14975","1.950578000","230.2759","N/A","520.25"
"All-HSRP-routers_00","Dell_b2:69:7a","9791","12161137","0","0","9791","12161137","0.038765000","230.2440","N/A","422547.85"
"All-HSRP-routers_00","Dell_93:5d:00","173","199512","0","0","173","199512","1.950133000","230.2339","N/A","6932.50"
"Dell_fd:11:79","IPv4mcast_05","47","4418","47","4418","0","0","1.965827000","230.0167","153.66","N/A"
"MS-NLB-PhysServer-01_00","Broadcast","24","1536","24","1536","0","0","2.060119000","230.0143","53.42","N/A"
"Cisco_cc:5a:60","IPv4mcast_05","51","21486","51","21486","0","0","4.199344000","230.0099","747.31","N/A"
"Cisco_67:93:20","IPv4mcast_05","51","21486","51","21486","0","0","1.419811000","230.0098","747.31","N/A"
"Vmware_a0:69:4e","Broadcast","96","9716","96","9716","0","0","0.375519000","230.0065","337.94","N/A"
"Cisco_1e:0d:7e","IPv4mcast_05","52","5184","52","5184","0","0","1.137968000","230.0034","180.31","N/A"
"Dell_54:1c:8d","Broadcast","96","34346","96","34346","0","0","4.059951000","229.9998","1194.64","N/A"
"Cisco_18:ec:00","IPv4mcast_05","246","97884","246","97884","0","0","0.937367000","229.3294","3414.62","N/A"
"Oracle_0f:06:d4","Cisco_30:1d:00","3123","261583","0","0","3123","261583","0.279513000","229.0433","N/A","9136.54"
"All-HSRP-routers_00","Oracle_0f:06:d4","5404","7170213","0","0","5404","7170213","0.279097000","229.0432","N/A","250440.59"
"Oracle_93:0b:3d","Broadcast","20","1280","20","1280","0","0","4.202506000","228.6833","44.78","N/A"
"Cisco_d7:68:c0","Broadcast","57","3648","57","3648","0","0","0.069680000","228.6166","127.65","N/A"
"Vmware_a0:11:be","IPv4mcast_23","93","13392","93","13392","0","0","4.882188000","227.7327","470.45","N/A"
"Spanning-tree-(for-bridges)_07","Spanning-tree-(for-bridges)_09","18","1584","0","0","18","1584","5.816783000","227.7214","N/A","55.65"
"Ibm_53:a0:10","Ibm_31:eb:e2","73","7940","37","4062","36","3878","6.534247000","226.6674","143.36","136.87"
"Ibm_53:a2:c1","Ibm_31:eb:e2","73","7940","37","4062","36","3878","6.534252000","226.6674","143.36","136.87"
"Ibm_53:a2:c1","Cisco_30:1d:00","144","23066","0","0","144","23066","1.034177000","226.5584","N/A","814.48"
"All-HSRP-routers_00","Ibm_53:a2:c1","135","35299","1","64","134","35235","1.034029000","226.5584","N/A","1244.18"
"Dell_0d:ff:ae","Broadcast","138","8832","138","8832","0","0","7.858011000","226.3736","312.12","N/A"
"Apple_f3:20:c1","Broadcast","180","11520","180","11520","0","0","5.628953000","226.2645","407.31","N/A"
"All-HSRP-routers_00","Dell_1b:19:0c","157","97234","0","0","157","97234","3.352388000","226.1863","N/A","3439.08"
"Dell_1b:19:0c","Cisco_30:1d:00","122","18420","0","0","122","18420","3.352193000","226.0944","N/A","651.76"
"Oracle_00:fb:44","Oracle_01:27:f0","41","17114","0","0","41","17114","1.432237000","225.9236","N/A","606.01"
"Oracle_01:27:f1","Cisco_30:1d:00","40","5047","0","0","40","5047","1.431608000","225.9231","N/A","178.72"
"Dell_10:04:e5","Broadcast","116","12182","116","12182","0","0","5.832517000","225.7463","431.71","N/A"
"Dell_fd:12:14","IPv4mcast_05","50","4580","50","4580","0","0","4.880975000","225.0081","162.84","N/A"
"Cisco_38:f1:0f","Broadcast","453","52686","453","52686","0","0","6.857279000","224.9456","1873.73","N/A"
"Oracle_16:e8:44","Broadcast","21","1344","21","1344","0","0","5.031092000","224.6657","47.86","N/A"
"Oracle_16:f6:f9","Broadcast","24","1536","24","1536","0","0","9.660106000","224.3160","54.78","N/A"
"Oracle_0f:07:a3","Broadcast","27","1728","27","1728","0","0","8.398226000","224.2916","61.63","N/A"
"Cisco_db:64:00","Broadcast","40","2560","40","2560","0","0","5.832951000","224.2474","91.33","N/A"
"Oracle_b8:08:da","Broadcast","8","512","8","512","0","0","0.863530000","223.8364","18.30","N/A"
"Vmware_a0:28:94","Broadcast","44","3548","44","3548","0","0","10.313084000","223.2920","127.12","N/A"
"Vmware_a0:1d:44","IPv4mcast_23","96","13824","96","13824","0","0","2.732277000","222.9458","496.05","N/A"
"All-HSRP-routers_00","Oracle_91:6f:a1","137","21677","3","192","134","21485","3.469287000","222.1018","6.92","773.88"
"Oracle_3f:d3:8f","Broadcast","48","3072","48","3072","0","0","9.319658000","221.7403","110.83","N/A"
"IntelCor_86:b3:03","Broadcast","64","4096","64","4096","0","0","0.996692000","221.2604","148.10","N/A"
"Cisco_18:ec:00","Cisco_30:1d:00","2611","454947","1327","257247","1284","197700","0.243343000","221.1889","9304.16","7150.45"
"Cisco_63:ec:b7","CDP/VTP/DTP/PAgP/UDLD","28","4710","28","4710","0","0","10.655271000","221.1692","170.37","N/A"
"Dell_19:81:7b","Broadcast","201","45525","201","45525","0","0","7.099363000","221.1132","1647.12","N/A"
"All-HSRP-routers_00","Dell_19:81:7b","51","13501","1","64","50","13437","7.201561000","221.0109","N/A","486.38"
"Oracle_16:d2:62","Broadcast","12","768","12","768","0","0","9.930838000","220.9458","27.81","N/A"
"Oracle_e4:47:74","Broadcast","40","2560","40","2560","0","0","7.630775000","220.8868","92.72","N/A"
"Apple_f3:20:c0","IPv4mcast_fb","28","2240","28","2240","0","0","6.992839000","220.5598","81.25","N/A"
"IntelCor_70:00:14","Broadcast","45","2880","45","2880","0","0","14.438900000","218.2237","105.58","N/A"
"Cisco_db:64:00","IPv4mcast_01","156","9984","156","9984","0","0","3.176383000","218.1168","366.19","N/A"
"Vmware_a0:27:90","Broadcast","10","640","10","640","0","0","1.549556000","217.3839","23.55","N/A"
"All-HSRP-routers_00","Dell_1d:43:d4","6035","2447012","0","0","6035","2447012","2.725327000","217.0976","N/A","90171.88"
"Dell_1d:43:d4","Cisco_30:1d:00","6978","1114503","0","0","6978","1114503","2.725240000","217.0840","N/A","41071.78"
"Oracle_01:0c:0a","Broadcast","22","1408","22","1408","0","0","5.026138000","215.6200","52.24","N/A"
"Oracle_28:7f:6f","Broadcast","26","2250","26","2250","0","0","0.364525000","215.5502","83.51","N/A"
"Cisco_7b:b0:70","CDP/VTP/DTP/PAgP/UDLD","27","4665","27","4665","0","0","9.109818000","215.2964","173.34","N/A"
"All-HSRP-routers_00","Apple_94:1b:50","108","10301","0","0","108","10301","5.620335000","215.1431","N/A","383.04"
"Apple_94:1b:50","Cisco_30:1d:00","109","9443","0","0","109","9443","5.620840000","215.1424","N/A","351.13"
"Oracle_91:6f:a1","Cisco_30:1d:00","63","7179","0","0","63","7179","3.468096000","214.3266","N/A","267.96"
"Oracle_29:a4:27","Cisco_58:be:63","215","36503","97","25605","118","10898","16.711848000","214.1514","956.52","407.11"
"Vmware_a0:62:0a","Broadcast","8","512","8","512","0","0","6.213881000","212.7106","19.26","N/A"
"Oracle_17:13:e2","Broadcast","28","1792","28","1792","0","0","8.468098000","212.5818","67.44","N/A"
"Cisco_c9:94:58","Broadcast","189","12096","189","12096","0","0","10.620942000","210.9304","458.77","N/A"
"All-HSRP-routers_00","Dell_50:00:e9","23","1890","6","384","17","1506","11.988243000","210.7255","14.58","57.17"
"NortelNe_fb:4f:00","Broadcast","303","19392","303","19392","0","0","3.224304000","210.4231","737.26","N/A"
"Apple_e7:29:f2","IPv4mcast_01","16","1376","16","1376","0","0","2.044376000","210.0116","52.42","N/A"
"Apple_e8:14:06","IPv4mcast_01","32","2752","32","2752","0","0","15.478610000","210.0084","104.83","N/A"
"Apple_f3:20:c0","IPv4mcast_01","16","1392","16","1392","0","0","9.211983000","210.0063","53.03","N/A"
"Apple_9e:4d:99","IPv4mcast_01","32","2848","32","2848","0","0","2.152170000","209.9887","108.50","N/A"
"Cisco_d7:68:c0","IPv4mcast_0d","8","608","8","608","0","0","23.363423000","208.6928","23.31","N/A"
"Oracle_0f:06:d4","Broadcast","29","1856","29","1856","0","0","1.719085000","207.8486","71.44","N/A"
"Oracle_91:6f:a1","Broadcast","30","1920","30","1920","0","0","3.958851000","207.8019","73.92","N/A"
"Dell_bc:55:31","Cisco_30:1d:00","9","594","0","0","9","594","4.525565000","207.5397","N/A","22.90"
"Oracle_1a:65:78","Broadcast","8","512","8","512","0","0","23.940854000","207.4294","19.75","N/A"
"Cisco_d7:76:c0","IPv4mcast_0d","8","608","8","608","0","0","4.273156000","206.3100","23.58","N/A"
"IntelCor_86:b3:07","Broadcast","32","2048","32","2048","0","0","6.211913000","205.6836","79.66","N/A"
"Oracle_a1:f7:5c","Broadcast","11","704","11","704","0","0","20.183518000","205.3858","27.42","N/A"
"Dell_fd:ad:33","Broadcast","11","1085","11","1085","0","0","24.976101000","205.2179","42.30","N/A"
"Dell_af:40:53","Broadcast","4","256","4","256","0","0","10.505968000","205.0798","9.99","N/A"
"Vmware_9b:4c:a4","Broadcast","6","384","6","384","0","0","11.733876000","203.2766","15.11","N/A"
"Oracle_3f:40:4a","Broadcast","6","384","6","384","0","0","6.192567000","203.2049","15.12","N/A"
"Oracle_01:0c:a8","Broadcast","12","768","12","768","0","0","2.769862000","201.9945","30.42","N/A"
"Dell_19:77:fd","Broadcast","12","1317","12","1317","0","0","16.427888000","201.9508","52.17","N/A"
"Oracle_fd:05:53","Broadcast","14","896","14","896","0","0","6.434969000","201.4879","35.58","N/A"
"Oracle_b7:f4:52","Broadcast","10","640","10","640","0","0","4.041987000","201.2270","25.44","N/A"
"Oracle_44:af:6d","Broadcast","8","512","8","512","0","0","13.717321000","200.5783","20.42","N/A"
"Vmware_a0:52:0e","Broadcast","12","768","12","768","0","0","23.754505000","200.0319","30.72","N/A"
"SuperMic_00:d1:c6","Broadcast","69","4416","69","4416","0","0","26.592664000","198.9852","177.54","N/A"
"Oracle_3f:d3:8e","Broadcast","15","960","15","960","0","0","0.808405000","198.4885","38.69","N/A"
"Dell_ee:24:f9","Cisco_30:1d:00","62","5652","0","0","62","5652","4.420276000","198.0671","N/A","228.29"
"Oracle_17:00:0a","Broadcast","18","1152","18","1152","0","0","25.146474000","197.4440","46.68","N/A"
"Cisco_30:1d:00","IPv4mcast_01","52","3328","52","3328","0","0","27.956623000","197.2539","134.97","N/A"
"Apple_35:a2:81","IPv4mcast_fb","6","514","6","514","0","0","34.000177000","197.1491","20.86","N/A"
"Oracle_85:08:0b","Broadcast","13","832","13","832","0","0","5.274587000","196.8197","33.82","N/A"
"Oracle_5b:2b:47","Broadcast","16","1024","16","1024","0","0","4.202292000","196.3789","41.72","N/A"
"Ibm_97:09:65","Broadcast","7","814","7","814","0","0","0.168729000","195.9913","33.23","N/A"
"Dell_b2:69:7a","Cisco_30:1d:00","103","73840","0","0","103","73840","24.192816000","195.5004","N/A","3021.58"
"Dell_19:81:7f","Broadcast","12","3804","12","3804","0","0","20.885605000","195.3329","155.80","N/A"
"Fujitsu_e5:37:ee","Broadcast","32","2048","32","2048","0","0","13.878064000","194.0183","84.45","N/A"
"Oracle_c6:30:3e","Broadcast","32","2048","32","2048","0","0","17.991501000","194.0046","84.45","N/A"
"Oracle_38:cc:c7","Broadcast","36","2304","36","2304","0","0","27.209564000","191.6262","96.19","N/A"
"Vmware_a0:6f:3f","Broadcast","8","512","8","512","0","0","23.096372000","191.5418","21.38","N/A"
"Apple_35:70:bf","IPv4mcast_fb","6","476","6","476","0","0","34.099128000","191.0489","19.93","N/A"
"Ibm_b7:15:21","Broadcast","18","1152","18","1152","0","0","32.457076000","191.0322","48.24","N/A"
"Vmware_a0:2a:ea","Broadcast","10","640","10","640","0","0","27.847422000","190.6946","26.85","N/A"
"Oracle_67:fd:30","Broadcast","14","896","14","896","0","0","2.080585000","188.9263","37.94","N/A"
"Oracle_82:c1:53","Broadcast","86","5504","86","5504","0","0","13.186028000","188.7134","233.33","N/A"
"Oracle_ad:41:2a","Broadcast","12","768","12","768","0","0","28.484052000","188.1539","32.65","N/A"
"IntelCor_36:91:3d","Broadcast","10","640","10","640","0","0","29.304083000","187.8939","27.25","N/A"
"Oracle_1e:e8:53","Broadcast","12","768","12","768","0","0","9.586339000","187.4828","32.77","N/A"
"Lantroni_57:0a:a1","Broadcast","7","630","7","630","0","0","26.683925000","187.4385","26.89","N/A"
"Lantroni_67:21:d9","Broadcast","21","1890","21","1890","0","0","18.450476000","187.2383","80.75","N/A"
"Dell_fe:6a:47","Broadcast","6","750","6","750","0","0","24.748517000","186.9271","32.10","N/A"
"Oracle_2c:c1:00","Broadcast","14","896","14","896","0","0","1.192622000","186.3348","38.47","N/A"
"Oracle_01:0c:48","Broadcast","6","384","6","384","0","0","8.153562000","185.9699","16.52","N/A"
"Oracle_d8:e3:fb","Broadcast","16","1024","16","1024","0","0","4.508219000","184.9952","44.28","N/A"
"Oracle_a4:cf:10","Broadcast","4","256","4","256","0","0","25.894428000","184.3388","11.11","N/A"
"Oracle_d3:d7:e8","Broadcast","6","384","6","384","0","0","41.500057000","184.0453","16.69","N/A"
"Oracle_eb:73:85","Broadcast","6","384","6","384","0","0","21.604377000","184.0173","16.69","N/A"
"Dell_6b:2e:89","Broadcast","20","5520","20","5520","0","0","7.976157000","183.6653","240.44","N/A"
"Fujitsu_e5:3c:36","Broadcast","10","640","10","640","0","0","39.021495000","182.0813","28.12","N/A"
"All-HSRP-routers_00","Dell_e5:c3:49","70","11471","0","0","70","11471","34.737236000","180.5327","N/A","508.32"
"Dell_8d:a5:9a","Ibm_b7:38:0a","8","512","4","256","4","256","22.077482000","180.3789","11.35","11.35"
"Ibm_7e:09:3a","Broadcast","28","1792","28","1792","0","0","1.902346000","180.2143","79.55","N/A"
