"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"41.177.26.176","68.157.168.139","461","178407","231","157520","230","20887","1.734335000","208.4931","6044.13","801.45"
"210.218.218.164","253.244.77.41","188","12376","0","0","188","12376","1.744224000","231.7601","N/A","427.20"
"41.177.241.46","151.77.15.248","179","32601","49","6971","130","25630","1.744551000","230.4107","242.04","889.89"
"244.3.64.12","244.3.153.117","19","2539","0","0","19","2539","1.744698000","229.1943","N/A","88.62"
"246.142.244.157","246.142.244.205","116","7424","0","0","116","7424","1.747126000","231.2326","N/A","256.85"
"244.3.64.71","244.3.153.117","18","2381","0","0","18","2381","1.748314000","229.1912","N/A","83.11"
"41.177.98.176","95.197.89.124","19","9463","10","8533","9","930","1.755335000","18.2154","3747.60","408.45"
"41.177.116.186","210.218.218.164","86","5676","86","5676","0","0","1.765265000","231.3045","196.31","N/A"
"210.218.218.164","244.3.41.186","174","11484","0","0","174","11484","1.765319000","232.1045","N/A","395.82"
"210.218.218.164","244.3.153.164","190","12504","0","0","190","12504","1.792243000","232.1324","N/A","430.93"
"210.218.218.164","244.3.176.68","95","6254","0","0","95","6254","1.808217000","232.5161","N/A","215.18"
