"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"41.177.3.224","65161","41.177.117.184","1606","208","57696","112","30592","96","27104","0.601967000","225.2785","1086.37","962.51"
"41.177.3.224","40064","41.177.117.184","1610","208","57616","112","30624","96","26992","0.609342000","225.2711","1087.54","958.56"
"41.177.3.224","65238","41.177.117.184","1613","337","126592","176","65952","161","60640","2.493073000","225.2674","2342.18","2153.53"
"41.177.3.224","51374","41.177.117.184","1618","208","57680","112","30624","96","27056","0.630171000","225.2503","1087.64","960.92"
"41.177.3.224","65167","41.177.117.184","1606","209","57840","113","30656","96","27184","0.650767000","225.2297","1088.88","965.56"
"41.177.3.224","65164","41.177.117.184","1606","209","57776","113","30592","96","27184","0.650772000","225.2297","1086.61","965.56"
"41.177.3.224","51306","41.177.117.184","1605","208","59168","112","30656","96","28512","2.950761000","225.2297","1088.88","1012.73"
"41.177.3.224","51313","41.177.117.184","1605","208","57792","112","30592","96","27200","7.161544000","225.2188","1086.66","966.17"
"41.177.3.224","65168","41.177.117.184","1606","240","77920","128","39968","112","37952","0.669245000","225.2112","1419.75","1348.14"
"41.177.3.224","65163","41.177.117.184","1606","208","57956","112","30592","96","27364","0.673827000","225.2067","1086.72","972.05"
"41.177.13.249","1052","244.3.41.84","23","35","17025","20","1407","15","15618","9.043239000","225.1814","49.99","554.86"
"41.177.3.224","40058","41.177.117.184","1610","240","78080","128","40064","112","38016","0.706905000","225.1736","1423.40","1350.64"
"41.177.3.224","38682","41.177.117.184","1607","240","78112","128","40096","112","38016","0.706913000","225.1736","1424.54","1350.64"
"41.177.3.224","40052","41.177.117.184","1610","209","57904","112","30624","97","27280","4.904326000","225.1661","1088.05","969.24"
"41.177.3.224","38681","41.177.117.184","1607","208","57648","112","30656","96","26992","3.859969000","225.1604","1089.21","959.03"
"41.177.3.224","50396","41.177.117.184","1610","154","54436","100","26282","54","28154","4.712698000","225.1477","933.86","1000.37"
"41.177.93.64","1156","244.3.41.84","23","176","86454","88","10559","88","75895","6.795338000","224.6828","375.96","2702.30"
"41.106.176.15","56908","41.177.241.46","443","1403","351021","549","86721","854","264300","9.311269000","223.9749","3097.53","9440.34"
"41.106.180.77","1269","41.177.241.46","443","48","3720","24","1968","24","1752","1.716062000","223.8522","70.33","62.61"
"244.3.39.224","52661","41.177.241.46","443","48","3720","24","1968","24","1752","0.051774000","223.7001","70.38","62.66"
"41.106.176.15","33082","41.177.241.46","443","86","9098","43","5805","43","3293","6.856902000","223.3893","207.89","117.93"
"41.106.176.15","40950","41.177.241.46","443","129","13574","60","7982","69","5592","10.368854000","223.1159","286.20","200.51"
"41.177.117.153","35504","244.3.41.84","1522","189","61870","95","38634","94","23236","11.019640000","222.2987","1390.35","836.21"
"151.77.15.210","1127","41.177.241.46","443","50","3953","25","2137","25","1816","10.572791000","222.2795","76.91","65.36"
"41.106.176.15","44756","41.177.241.46","443","112","12562","54","7900","58","4662","9.981291000","222.2455","284.37","167.81"
"244.3.77.239","51805","41.177.241.46","443","56","4232","24","1968","32","2264","8.092332000","221.6724","71.02","81.71"
"151.77.15.118","1678","41.177.241.46","443","50","4249","25","2224","25","2025","12.084037000","221.5904","80.29","73.11"
"244.3.31.117","58832","41.177.98.220","7000","289","51170","158","22620","131","28550","2.921981000","220.6432","820.15","1035.16"
"244.3.90.4","59976","41.177.98.92","22","7885","7318830","2741","213338","5144","7105492","8.766078000","220.5568","7738.16","257729.27"
"151.77.15.248","49363","41.177.241.46","443","48","3720","24","1968","24","1752","11.880557000","220.2747","71.47","63.63"
"244.3.210.254","52502","41.177.244.142","548","49","3912","20","1672","29","2240","13.228724000","220.2226","60.74","81.37"
"41.106.176.15","47278","41.177.241.46","443","102","10978","49","7075","53","3903","4.232573000","220.1753","257.07","141.81"
"244.3.153.142","49633","41.177.31.98","22","46","4462","23","2990","23","1472","6.449515000","220.1413","108.66","53.49"
"244.3.34.165","1093","41.177.3.224","22","46","4462","23","2990","23","1472","4.696294000","220.1342","108.66","53.49"
"244.3.153.25","49421","41.177.24.241","5222","10","980","5","660","5","320","2.661192000","220.0933","23.99","11.63"
"41.177.24.241","5222","244.3.153.13","1201","12","1512","6","788","6","724","5.566691000","220.0719","28.65","26.32"
"41.177.24.108","5222","244.3.153.77","1368","10","980","5","320","5","660","4.521248000","220.0572","11.63","23.99"
"244.3.153.142","50867","244.3.124.145","22","46","4462","23","2990","23","1472","7.007545000","220.0167","108.72","53.52"
"244.3.153.142","55544","244.3.124.153","22","46","4462","23","2990","23","1472","7.247756000","220.0165","108.72","53.52"
"41.177.98.220","7010","244.3.185.188","2031","104","19807","44","12897","60","6910","9.362081000","218.5484","472.10","252.94"
"41.177.98.220","7010","41.177.168.251","1365","50","15175","23","8691","27","6484","5.437749000","218.2011","318.64","237.73"
