src,dest,connectionCount
41.39.218.67,244.3.210.197,7
197.154.210.84,41.177.98.127,4
244.3.210.98,68.83.160.23,7
244.3.31.184,41.177.98.98,1
244.3.41.176,244.3.39.203,2
41.177.98.220,244.3.31.98,2
90.218.155.193,41.177.98.176,6
244.3.142.57,41.177.98.220,1
181.127.47.67,244.3.61.151,1
72.208.154.177,244.3.61.244,1
41.177.241.120,244.3.210.197,4
15.186.51.17,41.177.98.79,1
41.177.3.57,244.3.39.203,2
41.177.3.224,41.177.117.153,2
68.157.168.204,41.177.26.176,4
253.37.253.139,41.177.230.224,1
244.3.31.241,244.3.41.84,2
77.64.39.119,41.177.26.176,1
41.177.180.176,41.177.230.197,1
33.157.202.242,244.3.61.39,1
41.177.180.176,244.3.41.152,3
246.121.210.224,244.3.210.197,1
244.3.22.180,244.3.41.84,1
210.94.68.176,244.3.61.225,1
244.3.220.197,41.177.98.220,1
79.108.231.213,41.177.26.176,1
244.3.154.100,244.3.41.84,1
68.159.161.120,41.177.26.176,1
41.177.176.106,244.3.160.239,13
244.3.160.239,188.68.214.181,13
244.3.93.241,41.177.241.253,1
41.106.90.203,244.3.210.197,29
244.3.41.100,244.3.39.203,1
41.177.3.224,41.177.230.150,1
41.177.56.138,244.3.41.84,1
41.177.3.224,41.177.3.184,1
244.3.153.103,244.3.176.224,1
41.177.57.211,244.3.210.197,8
18.198.66.77,244.3.210.197,6
41.177.34.163,244.3.160.239,120
244.3.41.252,41.177.26.205,2
244.3.79.219,41.177.98.220,1
203.67.168.48,41.177.98.143,1
244.3.117.205,244.3.41.84,1
244.3.210.197,41.177.244.177,1
253.37.253.121,253.160.108.127,3
41.177.4.98,244.3.153.142,1
244.3.218.224,244.3.41.84,1
77.197.128.167,244.3.210.197,1
77.197.217.218,41.177.26.176,23
77.197.210.48,41.177.26.91,4
77.197.217.152,41.177.26.176,22
77.197.210.80,41.177.26.15,1
77.197.210.2,41.177.26.176,25
145.95.41.251,145.95.81.118,1
244.3.93.239,41.177.98.142,1
77.197.210.224,41.177.26.15,3
77.197.128.209,41.177.26.15,3
41.77.105.0,244.3.210.197,7
77.197.210.186,41.177.26.15,3
77.197.128.186,41.177.26.15,3
77.197.210.186,41.177.26.91,3
77.197.210.159,41.177.26.176,20
77.197.128.225,41.177.26.15,2
77.197.217.152,41.177.26.91,1
77.197.128.153,41.177.26.91,1
241.204.15.82,41.177.98.127,3
77.197.210.82,41.177.26.15,3
77.197.210.71,41.177.26.15,1
46.194.188.194,244.3.210.197,3
77.197.210.67,41.177.26.91,2
71.241.210.40,244.3.31.68,1
68.157.168.197,41.177.26.176,4
77.197.210.128,41.177.26.15,2
244.160.18.105,41.177.98.143,1
244.3.79.15,244.3.41.84,1
193.253.223.2,244.3.210.197,1
41.177.84.66,244.3.31.168,6
41.177.142.41,244.3.41.84,1
176.48.132.197,41.177.3.177,1
77.197.128.12,41.177.26.91,2
253.37.253.43,253.213.108.203,1
244.3.160.239,188.68.214.108,22
41.177.110.130,41.177.98.220,1
198.177.110.202,41.177.26.22,3
244.3.210.197,203.103.84.181,1
145.67.223.161,244.3.160.239,5
41.177.230.224,244.3.31.124,1
47.167.160.79,41.177.98.98,1
43.106.84.231,244.3.160.239,33
41.177.3.215,41.177.3.203,2
77.197.128.251,41.177.26.46,2
41.177.105.80,244.3.41.84,1
253.37.253.43,253.176.160.161,1
41.177.230.224,41.177.26.176,1
41.177.230.224,41.177.26.84,1
41.177.230.224,41.177.26.13,1
41.177.230.224,41.177.26.22,1
68.157.145.13,244.3.210.255,1
128.119.167.108,41.177.26.15,1
244.3.153.156,41.177.116.45,2
244.3.153.41,41.177.3.117,1
68.33.186.67,244.3.160.239,4
67.122.211.41,244.3.39.224,1
67.122.211.41,244.3.39.95,1
67.122.211.41,244.3.39.102,1
92.244.186.20,41.177.26.15,3
85.108.117.193,41.177.26.176,2
41.177.22.92,41.177.98.220,2
244.3.224.188,244.3.210.197,2
253.37.253.43,253.142.253.106,1
184.4.77.132,41.177.98.98,1
41.177.202.141,41.177.98.220,1
244.3.210.197,128.75.71.215,6
244.3.47.239,41.177.98.121,2
254.214.213.72,41.177.98.127,5
244.3.153.239,244.3.176.118,1
197.45.108.197,41.177.98.127,1
41.177.230.224,244.3.160.254,1
244.3.90.142,41.177.98.220,2
71.193.83.117,41.177.26.176,1
253.37.253.43,253.160.108.253,39
145.95.31.210,244.3.160.239,10
41.122.117.224,41.177.26.176,1
244.3.93.229,41.177.98.220,1
77.197.127.51,41.177.26.176,2
15.186.164.176,41.177.26.46,1
26.47.18.84,244.3.31.124,1
41.177.230.224,41.177.98.142,1
41.177.230.224,41.177.98.176,1
177.213.85.47,41.177.98.176,2
253.37.253.43,253.142.108.12,2
41.177.92.145,41.177.98.220,1
244.3.90.143,41.177.98.220,1
77.197.106.40,244.3.210.197,3
244.3.90.185,41.177.98.176,4
197.33.223.168,244.3.210.197,1
244.3.210.197,225.79.185.181,2
244.3.41.252,41.177.3.224,4
253.37.253.43,253.142.108.93,4
194.168.61.239,41.177.98.127,2
41.177.244.77,244.3.210.90,4
41.84.117.71,244.3.210.197,1
244.3.153.22,244.3.176.224,1
197.33.223.253,244.3.210.197,1
244.3.41.252,41.177.3.203,4
197.33.149.117,244.3.210.197,1
253.37.253.43,253.116.108.124,1
151.77.217.75,244.3.160.239,19
197.33.223.117,244.3.210.197,1
244.3.160.239,188.68.193.91,40
197.33.149.144,244.3.210.197,1
41.177.3.215,41.177.3.224,2
168.84.123.138,41.177.26.91,2
197.33.149.122,244.3.210.197,1
41.177.180.176,41.177.3.215,2
168.72.165.153,41.177.26.176,8
239.152.167.98,41.177.26.176,1
244.3.153.33,244.3.176.224,1
244.3.34.194,41.177.98.145,1
244.3.160.239,40.248.176.156,134
15.68.47.117,244.3.210.197,1
215.160.91.82,244.3.210.197,3
244.3.160.248,41.177.26.211,2
68.164.185.120,244.3.210.197,4
194.168.141.39,41.177.98.127,3
244.3.160.239,244.176.48.167,21
41.177.225.164,41.177.98.220,1
77.197.128.47,41.177.26.176,33
194.31.194.116,41.177.98.143,1
41.177.3.215,244.3.210.95,2
77.197.128.72,41.177.26.176,13
244.3.31.24,244.3.153.142,1
244.3.160.239,188.68.211.24,2
77.197.210.164,41.177.26.15,1
77.197.210.241,41.177.26.91,2
77.197.128.118,41.177.26.176,69
77.197.128.223,41.177.26.176,62
198.98.203.67,41.177.98.176,1
77.197.210.103,41.177.26.15,2
90.218.193.20,244.3.160.239,34
77.197.210.110,41.177.26.91,2
77.197.210.136,41.177.26.91,3
41.177.135.193,244.3.160.239,14
244.3.160.239,81.67.210.81,2
77.197.128.139,41.177.26.15,3
77.197.210.48,41.177.26.15,1
128.181.211.197,41.177.98.127,1
77.197.128.142,41.177.26.15,5
77.197.128.13,41.177.26.176,101
77.197.128.224,41.177.26.176,57
244.3.160.239,81.67.210.26,10
177.71.203.41,244.3.210.197,6
77.197.128.55,41.177.26.176,49
77.197.210.218,41.177.26.91,1
16.225.66.90,41.177.26.176,5
