sequenceNumber,medianEstRtt,startTime
234,7.00E-05,76.205209
235,0.000144,78.203766
236,7.20E-05,78.203966
237,7.30E-05,78.204232
238,6.70E-05,78.20448
239,5.30E-05,78.2048
240,0.011633563,78.20498
241,0.016559919,80.204108
242,8.00E-05,80.20436
243,6.40E-05,80.204607
244,6.90E-05,80.204852
245,7.10E-05,80.205091
246,7.20E-05,80.205398
247,8.80E-05,82.204499
248,0.011275609,82.204747
249,0.017104382,82.204986
250,7.00E-05,82.205287
251,7.90E-05,82.205559
252,7.30E-05,82.205803
253,8.70E-05,84.204758
254,6.10E-05,84.205012
255,7.10E-05,84.205282
256,0.011267047,84.205565
257,0.016998728,84.205813
258,6.80E-05,84.206058
259,9.10E-05,86.206114
260,6.80E-05,86.206371
261,6.70E-05,86.206617
262,6.50E-05,86.206898
263,7.20E-05,86.20715
264,0.011386539,86.207423
265,0.016935627,88.205751
266,9.10E-05,88.206022
267,7.40E-05,88.206257
268,7.50E-05,88.206504
269,6.20E-05,88.206754
270,7.50E-05,88.207047
271,9.20E-05,90.206039
272,0.011033742,90.206293
273,0.016535286,90.206539
274,7.20E-05,90.206788
275,6.80E-05,90.20706
276,6.70E-05,90.207321
277,8.30E-05,92.206002
278,6.90E-05,92.206277
279,7.20E-05,92.206518
280,0.011401656,92.206767
281,0.017309619,92.207012
282,6.10E-05,92.207292
283,9.10E-05,94.206803
284,7.50E-05,94.207111
285,6.80E-05,94.207308
286,6.60E-05,94.207588
287,0.000135,94.207831
288,0.011315203,94.208086
289,0.01754088,96.207059
290,7.80E-05,96.207306
291,7.10E-05,96.207574
292,7.40E-05,96.20782
293,6.20E-05,96.208076
294,7.50E-05,96.208319
295,9.40E-05,98.207008
296,0.011827336,98.207249
297,0.017755139,98.207497
298,7.10E-05,98.207772
299,7.80E-05,98.208013
300,7.40E-05,98.208259
301,7.80E-05,100.220061
302,7.10E-05,100.220391
303,8.90E-05,100.220643
304,0.011450867,100.22099
305,0.01640609,100.221293
306,6.70E-05,100.221612
307,8.50E-05,102.214495
308,6.90E-05,102.214771
309,7.60E-05,102.214995
310,7.10E-05,102.215279
311,7.00E-05,102.215531
312,0.010964477,102.215789
313,0.014955434,104.214548
314,6.70E-05,104.214792
315,7.20E-05,104.215068
316,7.40E-05,104.215343
317,7.30E-05,104.215582
318,7.00E-05,104.215852
319,8.40E-05,106.215412
320,0.010878117,106.215657
321,0.015779699,106.215903
322,6.50E-05,106.216154
323,6.30E-05,106.216422
324,6.00E-05,106.216668
325,8.90E-05,108.214909
326,7.00E-05,108.215184
327,7.00E-05,108.215438
328,0.011137281,108.215715
329,0.016097996,108.215967
330,8.20E-05,108.216221
331,9.00E-05,110.215015
332,7.40E-05,110.215284
333,7.00E-05,110.215533
334,0.000121,110.215805
335,7.00E-05,110.216045
336,0.010660531,110.216312
337,0.015704184,112.215273
338,7.80E-05,112.215524
339,6.00E-05,112.215827
340,7.00E-05,112.216037
341,6.60E-05,112.216288
342,6.20E-05,112.216536
343,0.000101,114.215546
344,0.010800797,114.21581
345,0.015659833,114.216073
346,6.20E-05,114.216326
347,6.80E-05,114.216569
348,7.40E-05,114.216822
349,8.40E-05,116.216051
350,6.30E-05,116.216349
351,8.80E-05,116.216576
352,0.010971383,116.216815
353,0.015983169,116.217065
354,6.30E-05,116.217358
355,8.60E-05,118.215621
356,8.20E-05,118.215835
357,7.00E-05,118.216073
358,6.80E-05,118.21634
359,6.60E-05,118.216585
360,0.011342063,118.216824
361,0.015192747,120.216037
362,8.00E-05,120.216296
363,7.20E-05,120.21656
364,7.10E-05,120.216806
365,6.00E-05,120.217068
366,6.80E-05,120.21731
367,9.80E-05,122.215997
368,0.010853281,122.216246
369,0.015886425,122.216498
370,6.90E-05,122.21677
371,7.00E-05,122.216998
372,7.20E-05,122.217246
373,8.20E-05,124.216268
374,7.00E-05,124.216533
375,7.00E-05,124.216756
376,0.010827984,124.217048
377,0.015453677,124.217275
378,7.30E-05,124.217526
379,9.00E-05,126.217011
380,7.20E-05,126.217262
381,6.80E-05,126.217506
382,6.90E-05,126.217759
383,7.10E-05,126.218026
384,0.010969969,126.218286
385,0.015819345,128.217073
386,8.00E-05,128.217306
387,7.00E-05,128.217588
388,7.20E-05,128.217838
389,6.80E-05,128.218055
390,6.50E-05,128.218338
391,8.90E-05,130.217062
392,0.010599094,130.217326
393,0.015285428,130.217601
394,6.90E-05,130.217826
395,6.90E-05,130.218069
396,6.80E-05,130.218341
397,9.00E-05,132.216575
398,8.00E-05,132.21682
399,6.70E-05,132.217055
400,0.011027227,132.217307
