"No.","Time","Source","Destination","Protocol","Source Port","Destination Port","Length","Time delta from previous captured frame","Sequence number","Time since reference or first frame","Syn","Acknowledgment","Stream index","Info"
"288933","68.385493","244.3.160.204","244.3.160.239","TCP","34495","80","64","0.001998000","2","68.385493000","Not set","Set","3446","34495  >  80 [ACK] Seq=2 Ack=2 Win=8760 Len=0"
"289012","68.419835","244.3.160.204","244.3.160.239","TCP","34493","443","64","0.005800000","2","68.419835000","Not set","Set","3444","34493  >  443 [ACK] Seq=2 Ack=2 Win=8760 Len=0"
"293364","70.205946","244.3.160.204","244.3.160.239","TCP","34829","443","64","0.000159000","0","70.205946000","Set","Not set","3514","34829  >  443 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"293365","70.206045","244.3.160.239","244.3.160.204","TCP","443","34829","64","0.000099000","0","70.206045000","Set","Set","3514","443  >  34829 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"293366","70.206201","244.3.160.204","244.3.160.239","TCP","34830","8080","64","0.000156000","0","70.206201000","Set","Not set","3515","34830  >  8080 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"293367","70.206274","244.3.160.239","244.3.160.204","TCP","8080","34830","64","0.000073000","1","70.206274000","Not set","Set","3515","8080  >  34830 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"293368","70.206499","244.3.160.204","244.3.160.239","TCP","34831","80","64","0.000225000","0","70.206499000","Set","Not set","3516","34831  >  80 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"293369","70.206596","244.3.160.239","244.3.160.204","TCP","80","34831","64","0.000097000","0","70.206596000","Set","Set","3516","80  >  34831 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"293795","70.303590","244.3.160.204","244.3.160.239","TCP","34829","443","64","0.001845000","1","70.303590000","Not set","Set","3514","34829  >  443 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"293796","70.303716","244.3.160.204","244.3.160.239","TCP","34829","443","64","0.000126000","1","70.303716000","Not set","Set","3514","34829  >  443 [FIN, ACK] Seq=1 Ack=1 Win=8760 Len=0"
"293797","70.303794","244.3.160.239","244.3.160.204","TCP","443","34829","64","0.000078000","1","70.303794000","Not set","Set","3514","443  >  34829 [ACK] Seq=1 Ack=2 Win=24820 Len=0"
"293799","70.305597","244.3.160.204","244.3.160.239","TCP","34831","80","64","0.001640000","1","70.305597000","Not set","Set","3516","34831  >  80 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"293800","70.305719","244.3.160.204","244.3.160.239","TCP","34831","80","64","0.000122000","1","70.305719000","Not set","Set","3516","34831  >  80 [FIN, ACK] Seq=1 Ack=1 Win=8760 Len=0"
"293801","70.305823","244.3.160.239","244.3.160.204","TCP","80","34831","64","0.000104000","1","70.305823000","Not set","Set","3516","80  >  34831 [ACK] Seq=1 Ack=2 Win=24820 Len=0"
"293802","70.306103","244.3.160.239","244.3.160.204","TCP","80","34831","64","0.000280000","1","70.306103000","Not set","Set","3516","80  >  34831 [FIN, ACK] Seq=1 Ack=2 Win=24820 Len=0"
"293832","70.323779","244.3.160.239","244.3.160.204","TCP","443","34829","64","0.000067000","1","70.323779000","Not set","Set","3514","443  >  34829 [FIN, ACK] Seq=1 Ack=2 Win=24820 Len=0"
"294037","70.373890","244.3.160.204","244.3.160.239","TCP","34831","80","64","0.000005000","2","70.373890000","Not set","Set","3516","34831  >  80 [ACK] Seq=2 Ack=2 Win=8760 Len=0"
