sequenceNumber,medianEstRtt,startTime
345,0.011065313,114.217641
346,0.011178992,114.217904
347,8.00E-05,114.218185
348,6.80E-05,114.218438
349,0.011044469,116.217628
350,6.10E-05,116.217878
351,7.20E-05,116.218117
352,8.40E-05,116.218413
353,0.011404547,116.218656
354,0.011469664,116.218948
355,7.50E-05,118.217097
356,7.00E-05,118.217378
357,0.011453258,118.21763
358,7.00E-05,118.217888
359,6.30E-05,118.218146
360,6.50E-05,118.218447
361,0.010811695,120.217599
362,0.010949516,120.217853
363,6.20E-05,120.218113
364,5.70E-05,120.218368
365,0.011088344,120.21864
366,6.00E-05,120.218907
367,6.90E-05,122.217516
368,6.50E-05,122.217799
369,0.011115914,122.218054
370,0.011227164,122.218325
371,6.30E-05,122.218578
372,6.70E-05,122.218856
373,0.010949625,124.21781
374,6.50E-05,124.218075
375,6.60E-05,124.218328
376,6.70E-05,124.21858
377,0.011119148,124.218888
378,0.011234523,124.219197
379,6.60E-05,126.218574
380,7.30E-05,126.218832
381,0.011091445,126.21911
382,8.90E-05,126.219361
383,0.000169,126.219623
384,7.00E-05,126.219896
385,0.011224305,128.218615
386,0.011326945,128.218875
387,7.10E-05,128.219161
388,7.00E-05,128.219437
389,0.011543156,128.219681
390,7.00E-05,128.219945
391,6.80E-05,130.218618
392,6.80E-05,130.218874
393,0.010896859,130.219121
394,0.010944133,130.219401
395,7.00E-05,130.219661
396,6.80E-05,130.21992
397,0.011114984,132.218077
398,7.10E-05,132.218328
399,6.70E-05,132.218603
400,6.80E-05,132.218855
