sequenceNumber,medianEstRtt,startTime
1,0.011609586,0.194458
2,5.30E-05,0.194768
3,0.011737734,0.195025
4,0.012162078,2.194365
5,7.10E-05,2.194616
6,0.012243453,2.19491
7,0.011849188,4.194636
8,0.000135,4.194908
9,0.011973313,4.195205
10,0.010842649,6.196338
11,6.70E-05,6.196586
12,0.011952148,6.196858
13,0.012031648,8.196081
14,0.000498,8.196396
15,0.012480289,8.19665
16,0.011526539,10.195855
17,7.40E-05,10.196109
18,0.011668391,10.196364
19,0.01193143,12.196549
20,7.40E-05,12.196828
21,0.012074289,12.197095
22,0.01169325,14.196353
23,7.10E-05,14.196587
24,0.011809375,14.196866
25,0.011821281,16.197597
26,8.50E-05,16.197795
27,0.011945211,16.198078
28,0.012055891,18.19664
29,6.90E-05,18.196903
30,0.012181453,18.197175
31,0.011657031,20.197765
32,6.90E-05,20.198021
33,0.011879648,20.198274
34,0.011724438,22.197289
35,7.00E-05,22.197567
36,0.011863453,22.197833
37,0.011852133,24.198819
38,7.10E-05,24.199086
39,0.01197193,24.199352
40,0.011720555,26.198382
41,7.00E-05,26.198633
42,0.011839906,26.198908
43,0.012135828,28.198857
44,6.50E-05,28.199147
45,0.012232437,28.199399
46,0.011618883,30.199038
47,7.00E-05,30.199307
48,0.011735859,30.199563
49,0.011572056,32.199155
50,7.00E-05,32.199495
51,0.011930023,32.19969
52,0.011732383,34.199683
53,6.70E-05,34.199947
54,0.011843188,34.200195
55,0.01186443,36.200762
56,6.70E-05,36.201004
57,0.011937664,36.201304
58,0.012126727,38.200495
59,6.90E-05,38.200753
60,0.012260227,38.201039
61,0.011823828,40.201451
62,7.10E-05,40.201724
63,0.011990164,40.201996
64,0.011877141,42.201297
65,7.20E-05,42.201552
66,0.012047672,42.201809
67,0.011872164,44.201453
68,7.00E-05,44.201718
69,0.012029375,44.201937
70,0.011799484,46.20199
71,7.20E-05,46.202244
72,0.011906719,46.202523
73,0.021117719,48.208444
74,7.10E-05,48.208826
75,0.021601281,48.209103
76,0.011585438,50.202522
77,8.40E-05,50.202742
78,0.011713289,50.203026
79,0.011779976,52.202823
80,6.80E-05,52.203115
81,0.012080734,52.203389
82,0.011564063,54.202857
83,6.80E-05,54.203127
84,0.011690211,54.203396
85,0.011834781,56.204196
86,7.50E-05,56.20449
87,0.011969953,56.204739
88,0.012126453,58.203859
89,7.00E-05,58.20413
90,0.012246297,58.204399
91,0.011893133,60.205635
92,7.30E-05,60.205908
93,0.012046328,60.206173
94,0.011888102,62.204976
95,0.000357,62.205295
96,0.012023,62.205546
97,0.011128898,64.205153
98,6.90E-05,64.205435
99,0.011872828,64.205681
100,0.012502844,66.21173
101,6.90E-05,66.212053
102,0.012602266,66.212398
103,0.01222068,68.206362
104,6.90E-05,68.20659
105,0.012364148,68.206862
106,0.011517141,70.205946
107,7.30E-05,70.206201
108,0.01168775,70.206499
109,0.012020195,72.206358
110,7.00E-05,72.20665
111,0.012142328,72.206938
112,0.011765555,74.206541
113,7.50E-05,74.206828
114,0.011867758,74.207167
115,0.012121133,76.207141
116,4.20E-05,76.207422
117,0.012241898,76.207652
118,0.012053074,78.206914
119,6.60E-05,78.207209
120,0.012141281,78.207452
121,0.01155518,80.207284
122,6.80E-05,80.207547
123,0.011712648,80.207784
