"No.","Time","Source","Destination","Protocol","Source Port","Destination Port","Length","Time delta from previous captured frame","Sequence number","Time since reference or first frame","Syn","Acknowledgment","Stream index","Info"
"1161","0.192877","244.3.160.204","244.3.160.254","TCP","23126","443","64","0.000027000","0","0.192877000","Set","Not set","73","23126  >  443 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"1164","0.193064","244.3.160.254","244.3.160.204","TCP","443","23126","64","0.000042000","0","0.193064000","Set","Set","73","443  >  23126 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"1165","0.193134","244.3.160.204","244.3.160.254","TCP","23127","80","64","0.000070000","0","0.193134000","Set","Not set","74","23127  >  80 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"1167","0.193244","244.3.160.254","244.3.160.204","TCP","80","23127","64","0.000105000","0","0.193244000","Set","Set","74","80  >  23127 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"1170","0.193406","244.3.160.204","244.3.160.254","TCP","23128","2784","64","0.000071000","0","0.193406000","Set","Not set","75","23128  >  2784 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"1171","0.193534","244.3.160.254","244.3.160.204","TCP","2784","23128","64","0.000128000","1","0.193534000","Not set","Set","75","2784  >  23128 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1174","0.193685","244.3.160.204","244.3.160.254","TCP","23129","2785","64","0.000048000","0","0.193685000","Set","Not set","76","23129  >  2785 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"1176","0.193819","244.3.160.254","244.3.160.204","TCP","2785","23129","64","0.000004000","1","0.193819000","Not set","Set","76","2785  >  23129 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1177","0.193943","244.3.160.204","244.3.160.254","TCP","23130","4000","64","0.000124000","0","0.193943000","Set","Not set","77","23130  >  4000 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"1179","0.194048","244.3.160.254","244.3.160.204","TCP","4000","23130","64","0.000032000","0","0.194048000","Set","Set","77","4000  >  23130 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
