"No.","Time","Source","Destination","Protocol","Source Port","Destination Port","Length","Time delta from previous captured frame","Sequence number","Time since reference or first frame","Syn","Acknowledgment","Stream index","Info"
"1132","0.191314","244.3.160.204","244.3.160.89","TCP","23120","443","64","0.000005000","0","0.191314000","Set","Not set","64","23120  >  443 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"1134","0.191417","244.3.160.89","244.3.160.204","TCP","443","23120","64","0.000057000","0","0.191417000","Set","Set","64","443  >  23120 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"1136","0.191567","244.3.160.204","244.3.160.89","TCP","23121","2784","64","0.000075000","0","0.191567000","Set","Not set","65","23121  >  2784 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"1138","0.191643","244.3.160.89","244.3.160.204","TCP","2784","23121","64","0.000071000","1","0.191643000","Not set","Set","65","2784  >  23121 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1140","0.191828","244.3.160.204","244.3.160.89","TCP","23122","2785","64","0.000126000","0","0.191828000","Set","Not set","67","23122  >  2785 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"1141","0.191896","244.3.160.89","244.3.160.204","TCP","2785","23122","64","0.000068000","1","0.191896000","Not set","Set","67","2785  >  23122 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1142","0.192109","244.3.160.204","244.3.160.89","TCP","23123","4000","64","0.000213000","0","0.192109000","Set","Not set","68","23123  >  4000 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"1145","0.192215","244.3.160.89","244.3.160.204","TCP","4000","23123","64","0.000097000","1","0.192215000","Not set","Set","68","4000  >  23123 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1148","0.192326","244.3.160.204","244.3.160.89","TCP","23124","4001","64","0.000038000","0","0.192326000","Set","Not set","70","23124  >  4001 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"1150","0.192396","244.3.160.89","244.3.160.204","TCP","4001","23124","64","0.000030000","1","0.192396000","Not set","Set","70","4001  >  23124 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1153","0.192573","244.3.160.204","244.3.160.89","TCP","23125","4002","64","0.000024000","0","0.192573000","Set","Not set","72","23125  >  4002 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"1159","0.192686","244.3.160.89","244.3.160.204","TCP","4002","23125","64","0.000004000","1","0.192686000","Not set","Set","72","4002  >  23125 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1673","0.284372","244.3.160.204","244.3.160.89","SSL","23120","443","106","0.000273000","1","0.284372000","Not set","Set","64","Continuation Data"
"1674","0.284476","244.3.160.89","244.3.160.204","TCP","443","23120","64","0.000104000","1","0.284476000","Not set","Set","64","443  >  23120 [ACK] Seq=1 Ack=49 Win=24772 Len=0"
"1750","0.297347","244.3.160.89","244.3.160.204","SSL","443","23120","1518","0.000173000","1","0.297347000","Not set","Set","64","Continuation Data"
"1752","0.297470","244.3.160.89","244.3.160.204","SSL","443","23120","1518","0.000119000","1461","0.297470000","Not set","Set","64","Continuation Data"
"1753","0.297475","244.3.160.89","244.3.160.204","SSL","443","23120","123","0.000005000","2921","0.297475000","Not set","Set","64","Continuation Data"
"2154","0.367480","244.3.160.204","244.3.160.89","TCP","23120","443","64","0.000005000","49","0.367480000","Not set","Set","64","23120  >  443 [FIN, ACK] Seq=49 Ack=1461 Win=8760 Len=0"
"2156","0.367522","244.3.160.89","244.3.160.204","TCP","443","23120","64","0.000038000","2986","0.367522000","Not set","Set","64","443  >  23120 [ACK] Seq=2986 Ack=50 Win=24820 Len=0"
"2158","0.367699","244.3.160.89","244.3.160.204","TCP","443","23120","64","0.000058000","2986","0.367699000","Not set","Set","64","443  >  23120 [FIN, ACK] Seq=2986 Ack=50 Win=24820 Len=0"
"2161","0.367837","244.3.160.204","244.3.160.89","TCP","23120","443","64","0.000044000","49","0.367837000","Not set","Set","64","[TCP Out-Of-Order] 23120  >  443 [FIN, ACK] Seq=49 Ack=2921 Win=8760 Len=0"
"2165","0.367919","244.3.160.89","244.3.160.204","TCP","443","23120","64","0.000004000","2987","0.367919000","Not set","Set","64","[TCP Dup ACK 2156#1] 443  >  23120 [ACK] Seq=2987 Ack=50 Win=24820 Len=0"
"2388","0.403637","244.3.160.204","244.3.160.89","TCP","23120","443","64","0.001836000","50","0.403637000","Not set","Set","64","23120  >  443 [ACK] Seq=50 Ack=2987 Win=8695 Len=0"
"12272","2.191235","244.3.160.204","244.3.160.89","TCP","23451","2048","64","0.000197000","0","2.191235000","Set","Not set","295","23451  >  2048 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"12273","2.191317","244.3.160.89","244.3.160.204","TCP","2048","23451","64","0.000082000","1","2.191317000","Not set","Set","295","2048  >  23451 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"12274","2.191489","244.3.160.204","244.3.160.89","TCP","23452","80","64","0.000172000","0","2.191489000","Set","Not set","296","23452  >  80 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"12275","2.191635","244.3.160.89","244.3.160.204","TCP","80","23452","64","0.000146000","0","2.191635000","Set","Set","296","80  >  23452 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"12277","2.191732","244.3.160.204","244.3.160.89","TCP","23453","443","64","0.000039000","0","2.191732000","Set","Not set","297","23453  >  443 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"12278","2.191840","244.3.160.89","244.3.160.204","TCP","443","23453","64","0.000108000","0","2.191840000","Set","Set","297","443  >  23453 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"12280","2.192007","244.3.160.204","244.3.160.89","TCP","23454","2784","64","0.000162000","0","2.192007000","Set","Not set","298","23454  >  2784 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"12281","2.192082","244.3.160.89","244.3.160.204","TCP","2784","23454","64","0.000075000","1","2.192082000","Not set","Set","298","2784  >  23454 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"12282","2.192241","244.3.160.204","244.3.160.89","TCP","23455","2785","64","0.000159000","0","2.192241000","Set","Not set","299","23455  >  2785 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"12283","2.192311","244.3.160.89","244.3.160.204","TCP","2785","23455","64","0.000070000","1","2.192311000","Not set","Set","299","2785  >  23455 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"12285","2.192506","244.3.160.204","244.3.160.89","TCP","23456","4000","64","0.000140000","0","2.192506000","Set","Not set","300","23456  >  4000 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"12286","2.192574","244.3.160.89","244.3.160.204","TCP","4000","23456","64","0.000068000","1","2.192574000","Not set","Set","300","4000  >  23456 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"12651","2.287544","244.3.160.204","244.3.160.89","TCP","23452","80","64","0.000258000","1","2.287544000","Not set","Set","296","23452  >  80 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"12652","2.287681","244.3.160.204","244.3.160.89","TCP","23452","80","64","0.000137000","1","2.287681000","Not set","Set","296","23452  >  80 [FIN, ACK] Seq=1 Ack=1 Win=8760 Len=0"
"12654","2.287759","244.3.160.89","244.3.160.204","TCP","80","23452","64","0.000039000","1","2.287759000","Not set","Set","296","80  >  23452 [ACK] Seq=1 Ack=2 Win=24820 Len=0"
"12656","2.288054","244.3.160.89","244.3.160.204","TCP","80","23452","64","0.000199000","1","2.288054000","Not set","Set","296","80  >  23452 [FIN, ACK] Seq=1 Ack=2 Win=24820 Len=0"
"12660","2.288563","244.3.160.204","244.3.160.89","SSL","23453","443","106","0.000039000","1","2.288563000","Not set","Set","297","Continuation Data"
"12662","2.288658","244.3.160.89","244.3.160.204","TCP","443","23453","64","0.000050000","1","2.288658000","Not set","Set","297","443  >  23453 [ACK] Seq=1 Ack=49 Win=24772 Len=0"
"12760","2.301400","244.3.160.89","244.3.160.204","SSL","443","23453","1518","0.000157000","1","2.301400000","Not set","Set","297","Continuation Data"
"12762","2.301522","244.3.160.89","244.3.160.204","SSL","443","23453","1518","0.000118000","1461","2.301522000","Not set","Set","297","Continuation Data"
"12763","2.301527","244.3.160.89","244.3.160.204","SSL","443","23453","123","0.000005000","2921","2.301527000","Not set","Set","297","Continuation Data"
"13052","2.364786","244.3.160.204","244.3.160.89","TCP","23452","80","64","0.001921000","2","2.364786000","Not set","Set","296","23452  >  80 [ACK] Seq=2 Ack=2 Win=8760 Len=0"
"13096","2.373475","244.3.160.204","244.3.160.89","TCP","23453","443","64","0.000005000","49","2.373475000","Not set","Set","297","23453  >  443 [FIN, ACK] Seq=49 Ack=1461 Win=8760 Len=0"
"13097","2.373677","244.3.160.89","244.3.160.204","TCP","443","23453","64","0.000202000","2986","2.373677000","Not set","Set","297","443  >  23453 [ACK] Seq=2986 Ack=50 Win=24820 Len=0"
"13098","2.373879","244.3.160.89","244.3.160.204","TCP","443","23453","64","0.000202000","2986","2.373879000","Not set","Set","297","443  >  23453 [FIN, ACK] Seq=2986 Ack=50 Win=24820 Len=0"
"13100","2.374318","244.3.160.204","244.3.160.89","TCP","23453","443","64","0.000103000","49","2.374318000","Not set","Set","297","[TCP Out-Of-Order] 23453  >  443 [FIN, ACK] Seq=49 Ack=2921 Win=8760 Len=0"
"13101","2.374402","244.3.160.89","244.3.160.204","TCP","443","23453","64","0.000084000","2987","2.374402000","Not set","Set","297","[TCP Dup ACK 13097#1] 443  >  23453 [ACK] Seq=2987 Ack=50 Win=24820 Len=0"
"13241","2.417177","244.3.160.204","244.3.160.89","TCP","23453","443","64","0.000836000","50","2.417177000","Not set","Set","297","23453  >  443 [ACK] Seq=50 Ack=2987 Win=8695 Len=0"
"21186","4.191502","244.3.160.204","244.3.160.89","TCP","23790","4001","64","0.002116000","0","4.191502000","Set","Not set","427","23790  >  4001 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"21187","4.191603","244.3.160.89","244.3.160.204","TCP","4001","23790","64","0.000101000","1","4.191603000","Not set","Set","427","4001  >  23790 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"21188","4.191759","244.3.160.204","244.3.160.89","TCP","23791","4002","64","0.000156000","0","4.191759000","Set","Not set","428","23791  >  4002 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"21189","4.191833","244.3.160.89","244.3.160.204","TCP","4002","23791","64","0.000074000","1","4.191833000","Not set","Set","428","4002  >  23791 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"21190","4.191991","244.3.160.204","244.3.160.89","TCP","23792","2048","64","0.000158000","0","4.191991000","Set","Not set","429","23792  >  2048 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"21191","4.192066","244.3.160.89","244.3.160.204","TCP","2048","23792","64","0.000075000","1","4.192066000","Not set","Set","429","2048  >  23792 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"21192","4.192263","244.3.160.204","244.3.160.89","TCP","23793","80","64","0.000197000","0","4.192263000","Set","Not set","430","23793  >  80 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"21193","4.192400","244.3.160.89","244.3.160.204","TCP","80","23793","64","0.000137000","0","4.192400000","Set","Set","430","80  >  23793 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"21194","4.192524","244.3.160.204","244.3.160.89","TCP","23794","443","64","0.000124000","0","4.192524000","Set","Not set","431","23794  >  443 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"21195","4.192631","244.3.160.89","244.3.160.204","TCP","443","23794","64","0.000107000","0","4.192631000","Set","Set","431","443  >  23794 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"21197","4.192763","244.3.160.204","244.3.160.89","TCP","23795","2784","64","0.000022000","0","4.192763000","Set","Not set","432","23795  >  2784 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"21198","4.192835","244.3.160.89","244.3.160.204","TCP","2784","23795","64","0.000072000","1","4.192835000","Not set","Set","432","2784  >  23795 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"21830","4.288114","244.3.160.204","244.3.160.89","TCP","23793","80","64","0.000840000","1","4.288114000","Not set","Set","430","23793  >  80 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"21831","4.288268","244.3.160.204","244.3.160.89","TCP","23793","80","64","0.000154000","1","4.288268000","Not set","Set","430","23793  >  80 [FIN, ACK] Seq=1 Ack=1 Win=8760 Len=0"
"21832","4.288339","244.3.160.89","244.3.160.204","TCP","80","23793","64","0.000071000","1","4.288339000","Not set","Set","430","80  >  23793 [ACK] Seq=1 Ack=2 Win=24820 Len=0"
"21835","4.288754","244.3.160.89","244.3.160.204","TCP","80","23793","64","0.000172000","1","4.288754000","Not set","Set","430","80  >  23793 [FIN, ACK] Seq=1 Ack=2 Win=24820 Len=0"
"21836","4.288859","244.3.160.204","244.3.160.89","SSL","23794","443","106","0.000105000","1","4.288859000","Not set","Set","431","Continuation Data"
"21837","4.288953","244.3.160.89","244.3.160.204","TCP","443","23794","64","0.000094000","1","4.288953000","Not set","Set","431","443  >  23794 [ACK] Seq=1 Ack=49 Win=24772 Len=0"
"21932","4.301754","244.3.160.89","244.3.160.204","SSL","443","23794","1518","0.000656000","1","4.301754000","Not set","Set","431","Continuation Data"
"21933","4.301878","244.3.160.89","244.3.160.204","SSL","443","23794","1518","0.000124000","1461","4.301878000","Not set","Set","431","Continuation Data"
"21934","4.301883","244.3.160.89","244.3.160.204","SSL","443","23794","123","0.000005000","2921","4.301883000","Not set","Set","431","Continuation Data"
"22321","4.361150","244.3.160.204","244.3.160.89","TCP","23793","80","64","0.000311000","2","4.361150000","Not set","Set","430","23793  >  80 [ACK] Seq=2 Ack=2 Win=8760 Len=0"
"22379","4.373798","244.3.160.204","244.3.160.89","TCP","23794","443","64","0.000040000","49","4.373798000","Not set","Set","431","23794  >  443 [FIN, ACK] Seq=49 Ack=1461 Win=8760 Len=0"
"22380","4.373876","244.3.160.89","244.3.160.204","TCP","443","23794","64","0.000078000","2986","4.373876000","Not set","Set","431","443  >  23794 [ACK] Seq=2986 Ack=50 Win=24820 Len=0"
"22381","4.374070","244.3.160.89","244.3.160.204","TCP","443","23794","64","0.000194000","2986","4.374070000","Not set","Set","431","443  >  23794 [FIN, ACK] Seq=2986 Ack=50 Win=24820 Len=0"
"22383","4.374478","244.3.160.204","244.3.160.89","TCP","23794","443","64","0.000225000","49","4.374478000","Not set","Set","431","[TCP Out-Of-Order] 23794  >  443 [FIN, ACK] Seq=49 Ack=2921 Win=8760 Len=0"
"22384","4.374564","244.3.160.89","244.3.160.204","TCP","443","23794","64","0.000086000","2987","4.374564000","Not set","Set","431","[TCP Dup ACK 22380#1] 443  >  23794 [ACK] Seq=2987 Ack=50 Win=24820 Len=0"
"22587","4.412697","244.3.160.204","244.3.160.89","TCP","23794","443","64","0.000311000","50","4.412697000","Not set","Set","431","23794  >  443 [ACK] Seq=50 Ack=2987 Win=8695 Len=0"
"31209","6.193105","244.3.160.204","244.3.160.89","TCP","24121","2785","64","0.000214000","0","6.193105000","Set","Not set","621","24121  >  2785 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"31210","6.193187","244.3.160.89","244.3.160.204","TCP","2785","24121","64","0.000082000","1","6.193187000","Not set","Set","621","2785  >  24121 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"31211","6.193379","244.3.160.204","244.3.160.89","TCP","24122","4000","64","0.000192000","0","6.193379000","Set","Not set","622","24122  >  4000 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"31212","6.193453","244.3.160.89","244.3.160.204","TCP","4000","24122","64","0.000074000","1","6.193453000","Not set","Set","622","4000  >  24122 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"31213","6.193627","244.3.160.204","244.3.160.89","TCP","24123","4001","64","0.000174000","0","6.193627000","Set","Not set","623","24123  >  4001 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"31214","6.193694","244.3.160.89","244.3.160.204","TCP","4001","24123","64","0.000067000","1","6.193694000","Not set","Set","623","4001  >  24123 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"31215","6.193870","244.3.160.204","244.3.160.89","TCP","24124","4002","64","0.000176000","0","6.193870000","Set","Not set","624","24124  >  4002 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"31216","6.193942","244.3.160.89","244.3.160.204","TCP","4002","24124","64","0.000072000","1","6.193942000","Not set","Set","624","4002  >  24124 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"31217","6.194127","244.3.160.204","244.3.160.89","TCP","24125","2048","64","0.000185000","0","6.194127000","Set","Not set","625","24125  >  2048 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"31218","6.194193","244.3.160.89","244.3.160.204","TCP","2048","24125","64","0.000066000","1","6.194193000","Not set","Set","625","2048  >  24125 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"31219","6.194406","244.3.160.204","244.3.160.89","TCP","24126","80","64","0.000213000","0","6.194406000","Set","Not set","626","24126  >  80 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"31220","6.194517","244.3.160.89","244.3.160.204","TCP","80","24126","64","0.000111000","0","6.194517000","Set","Set","626","80  >  24126 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"31434","6.291264","244.3.160.204","244.3.160.89","TCP","24126","80","64","0.002067000","1","6.291264000","Not set","Set","626","24126  >  80 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"31435","6.291390","244.3.160.204","244.3.160.89","TCP","24126","80","64","0.000126000","1","6.291390000","Not set","Set","626","24126  >  80 [FIN, ACK] Seq=1 Ack=1 Win=8760 Len=0"
"31436","6.291489","244.3.160.89","244.3.160.204","TCP","80","24126","64","0.000099000","1","6.291489000","Not set","Set","626","80  >  24126 [ACK] Seq=1 Ack=2 Win=24820 Len=0"
"31438","6.291794","244.3.160.89","244.3.160.204","TCP","80","24126","64","0.000300000","1","6.291794000","Not set","Set","626","80  >  24126 [FIN, ACK] Seq=1 Ack=2 Win=24820 Len=0"
"31617","6.360935","244.3.160.204","244.3.160.89","TCP","24126","80","64","0.005582000","2","6.360935000","Not set","Set","626","24126  >  80 [ACK] Seq=2 Ack=2 Win=8760 Len=0"
"40036","8.192914","244.3.160.204","244.3.160.89","TCP","24455","443","64","0.000076000","0","8.192914000","Set","Not set","729","24455  >  443 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"40039","8.193055","244.3.160.89","244.3.160.204","TCP","443","24455","64","0.000005000","0","8.193055000","Set","Set","729","443  >  24455 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"40041","8.193160","244.3.160.204","244.3.160.89","TCP","24456","2784","64","0.000005000","0","8.193160000","Set","Not set","730","24456  >  2784 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"40043","8.193234","244.3.160.89","244.3.160.204","TCP","2784","24456","64","0.000034000","1","8.193234000","Not set","Set","730","2784  >  24456 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"40044","8.193421","244.3.160.204","244.3.160.89","TCP","24457","2785","64","0.000187000","0","8.193421000","Set","Not set","731","24457  >  2785 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"40045","8.193490","244.3.160.89","244.3.160.204","TCP","2785","24457","64","0.000069000","1","8.193490000","Not set","Set","731","2785  >  24457 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"40046","8.193673","244.3.160.204","244.3.160.89","TCP","24458","4000","64","0.000183000","0","8.193673000","Set","Not set","732","24458  >  4000 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"40047","8.193744","244.3.160.89","244.3.160.204","TCP","4000","24458","64","0.000071000","1","8.193744000","Not set","Set","732","4000  >  24458 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"40048","8.193915","244.3.160.204","244.3.160.89","TCP","24459","4001","64","0.000171000","0","8.193915000","Set","Not set","733","24459  >  4001 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"40049","8.193984","244.3.160.89","244.3.160.204","TCP","4001","24459","64","0.000069000","1","8.193984000","Not set","Set","733","4001  >  24459 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"40050","8.194162","244.3.160.204","244.3.160.89","TCP","24460","4002","64","0.000178000","0","8.194162000","Set","Not set","734","24460  >  4002 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"40051","8.194233","244.3.160.89","244.3.160.204","TCP","4002","24460","64","0.000071000","1","8.194233000","Not set","Set","734","4002  >  24460 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"40668","8.289426","244.3.160.204","244.3.160.89","SSL","24455","443","106","0.000817000","1","8.289426000","Not set","Set","729","Continuation Data"
"40669","8.289524","244.3.160.89","244.3.160.204","TCP","443","24455","64","0.000098000","1","8.289524000","Not set","Set","729","443  >  24455 [ACK] Seq=1 Ack=49 Win=24772 Len=0"
"40725","8.302243","244.3.160.89","244.3.160.204","SSL","443","24455","1518","0.001873000","1","8.302243000","Not set","Set","729","Continuation Data"
"40727","8.302367","244.3.160.89","244.3.160.204","SSL","443","24455","1518","0.000067000","1461","8.302367000","Not set","Set","729","Continuation Data"
"40728","8.302372","244.3.160.89","244.3.160.204","SSL","443","24455","123","0.000005000","2921","8.302372000","Not set","Set","729","Continuation Data"
"41053","8.372299","244.3.160.204","244.3.160.89","TCP","24455","443","64","0.000928000","49","8.372299000","Not set","Set","729","24455  >  443 [FIN, ACK] Seq=49 Ack=1461 Win=8760 Len=0"
