indexCount,startTime
1,0.192877
2,0.193134
3,0.193406
4,0.193685
5,0.193943
6,0.194192
7,2.192765
8,2.19305
9,2.193293
10,2.193552
11,2.193811
12,2.194102
13,4.193032
14,4.193311
15,4.193565
16,4.193848
17,4.1941
18,4.194433
19,6.194681
20,6.194992
21,6.19525
22,6.195511
23,6.195765
24,6.196018
25,8.194462
26,8.194714
27,8.194966
28,8.195261
29,8.195549
30,8.19581
31,10.194209
32,10.194467
33,10.194741
34,10.194998
35,10.195295
36,10.195605
37,12.194903
38,12.195236
39,12.195463
40,12.195733
41,12.195997
42,12.196262
43,14.194693
44,14.19496
45,14.195252
46,14.195531
47,14.195765
48,14.196054
49,16.195921
50,16.196355
51,16.196502
52,16.196715
53,16.196982
54,16.197262
55,18.195019
56,18.195329
57,18.195589
58,18.19584
59,18.196091
60,18.19639
61,20.196162
62,20.196487
63,20.1967
64,20.196951
65,20.197207
66,20.197505
67,22.195735
68,22.195982
69,22.196229
70,22.196482
71,22.196763
72,22.197064
73,24.197212
74,24.197465
75,24.197744
76,24.198002
77,24.198256
78,24.198517
79,26.196833
80,26.197102
81,26.19733
82,26.19759
83,26.197901
84,26.198114
85,28.197285
86,28.197536
87,28.197783
88,28.198064
89,28.198326
90,28.198585
91,30.197428
92,30.197686
93,30.197945
94,30.198238
95,30.198491
96,30.198802
97,32.197598
98,32.197862
99,32.198095
100,32.198375
101,32.198632
102,32.1989
103,34.198073
104,34.198332
105,34.198611
106,34.198873
107,34.199126
108,34.199378
109,36.199231
110,36.199406
111,36.199681
112,36.199942
113,36.200191
114,36.200489
115,38.198917
116,38.199211
117,38.199428
118,38.199683
119,38.199961
120,38.200229
121,40.199831
122,40.200119
123,40.200376
124,40.20064
125,40.20089
126,40.20118
127,42.199746
128,42.199937
129,42.200259
130,42.200484
131,42.200748
132,42.200994
133,44.199825
134,44.200082
135,44.200337
136,44.200611
137,44.200858
138,44.201124
139,46.200393
140,46.200668
141,46.200923
142,46.201177
143,46.201434
144,46.201719
145,48.206474
146,48.206814
147,48.207126
148,48.207439
149,48.207781
150,48.208103
151,50.200869
152,50.201129
153,50.201388
154,50.201649
155,50.201934
156,50.202199
157,52.201203
158,52.201464
159,52.201724
160,52.202015
161,52.20228
162,52.202544
163,54.201395
164,54.201531
165,54.201812
166,54.202115
167,54.202391
168,54.202586
169,56.202602
170,56.20286
171,56.203141
172,56.203401
173,56.203658
174,56.203917
175,58.202239
176,58.202514
177,58.202807
178,58.203033
179,58.203289
180,58.203581
181,60.203965
182,60.204224
183,60.20449
184,60.204781
185,60.205034
186,60.205333
187,62.20336
188,62.203617
189,62.203896
190,62.204161
191,62.204411
192,62.204676
193,64.203535
194,64.203788
195,64.204075
196,64.204352
197,64.20457
198,64.204818
199,66.209746
200,66.21004
201,66.210426
202,66.210705
203,66.211026
204,66.211385
205,68.204661
