frame.number,tcp.analysis.ack_rtt
76,
77,
1453,0.218749000
19144,
19145,
19147,
19149,
19150,0.000243000
19151,
19152,
19153,0.000164000
19154,
19155,
19156,
19157,0.000158000
19158,
19159,
19160,0.000190000
19161,
19162,
19163,
19164,0.000253000
19166,
19168,0.000208000
19169,
19170,
19171,0.000121000
19172,
19173,
19174,
19175,0.000164000
19176,
19177,
19178,
19179,0.000238000
19181,
19182,0.000136000
19183,
19185,
19186,
19187,0.000241000
19188,
19189,0.000159000
19190,
19191,
19192,0.000135000
19194,
19196,
19197,0.000178000
19198,
19199,
19201,0.000158000
20386,
20387,
20388,
20389,
20390,
20391,
20392,
20393,
20394,
20395,
20396,
20397,
20399,
20400,
20401,
20402,
20405,0.000584000
20407,0.000808000
20409,0.000966000
20412,0.001191000
20416,0.001405000
20421,0.001609000
20424,0.001845000
20425,0.002027000
20426,
20427,
20428,
20429,
20430,
20432,
20434,
20435,
20436,
20437,
20438,
20439,
20440,
20441,
20442,
20443,
20446,0.000550000
20448,0.000767000
20450,0.000958000
20452,0.001228000
20456,0.001364000
20458,0.001595000
20462,0.001790000
20465,0.002011000
20471,
20472,
20473,
20474,
20475,
20476,
20478,
20479,
20480,
20481,
20482,
20483,
20484,
20485,
20486,
20487,
20489,0.000545000
20490,0.000776000
20491,0.000970000
20492,0.001190000
20493,0.001369000
20495,0.001613000
20497,0.001842000
20498,0.002029000
20499,
20500,
20501,
20502,
20503,
20504,
20505,
20506,
20507,
20508,
20509,
20510,
20511,
20512,
20513,
20514,
20515,
20517,0.000540000
20518,
20520,0.000787000
20521,0.000953000
20525,0.001184000
20527,0.001417000
20530,0.001591000
20531,0.001821000
20532,0.002023000
20533,
20534,
20535,
20536,
20537,
20538,
20539,
20540,
20542,
20543,
20544,
20545,
20546,
20547,
20548,
20549,
20551,0.000439000
20553,0.000663000
20554,0.000880000
20557,0.001096000
20559,0.001305000
20560,0.001501000
20561,0.001714000
20562,0.001930000
20563,
20564,
20565,
20566,
20567,
20568,
20569,
20570,
20571,
20572,
20573,
20574,
20575,
20577,
20578,
20579,
20580,
20585,0.000424000
20589,0.000657000
20590,0.000872000
20591,0.001072000
20592,0.001306000
20593,0.001492000
20594,0.001718000
20595,0.001908000
20596,0.002131000
20598,
20599,
20600,
20601,
20602,
20603,
20604,
20606,0.000448000
20607,0.000678000
20608,0.000882000
20609,0.000979000
492305,
492306,
492308,
492310,
492311,0.000205000
492312,
492315,
492318,0.000150000
492319,
492322,
492323,0.000169000
492324,
492326,
492327,0.000210000
492328,
492329,
492330,0.000159000
492331,
492332,
492333,0.000141000
492334,
492335,
492336,
492337,0.000242000
492338,
492339,0.000177000
492340,
492342,
492343,0.000129000
492344,
492345,
492346,0.000198000
492347,
492348,
492349,
492350,0.000121000
492352,
492354,
492355,
492356,0.000248000
492357,
492358,0.000191000
492359,
492360,
492361,0.000179000
492362,
492363,
492364,
492365,0.000253000
492434,0.011648000
494831,
494832,
494833,
494834,
494836,
494837,
494838,
494839,
494840,
494841,
494842,
494843,
494844,
494845,
494846,
494847,
494848,
494849,
494850,
494852,0.000631000
494855,0.000831000
494856,0.000979000
494857,0.001194000
494858,0.001380000
494859,0.001595000
494860,0.001828000
494864,0.002022000
494867,
494868,0.002247000
494869,
494870,
494871,
494872,
494873,
494874,
494875,
494876,
494877,
494878,
494879,
494880,
494881,
494882,
494883,
494884,
494885,
494886,
494887,0.000444000
494891,0.000657000
494892,0.000890000
494893,0.001072000
494894,0.001310000
494896,0.001515000
494903,0.001722000
494904,0.001949000
494905,0.002127000
494906,
494907,
494908,
494909,
494910,
494911,
494912,
494913,
494914,
494915,
494916,
494917,
494918,
494919,
494920,
494921,
494922,
494923,
494924,0.000431000
494925,0.000668000
494926,0.000879000
494927,0.001076000
494928,0.001287000
494929,0.001488000
494930,0.001610000
494933,0.001829000
494934,0.002028000
494935,0.002234000
494937,
494939,
494940,
494941,
494942,
494943,
494945,
494947,
494948,
494949,
494950,
494951,
494953,
494954,
494955,
494956,
494957,
494959,
494960,
494962,
494970,0.000554000
494979,0.000779000
494987,0.000964000
494990,0.001140000
494991,0.001374000
494992,0.001587000
494993,0.001787000
494994,0.002001000
494996,
494998,0.002204000
494999,0.002405000
495000,
495001,
495003,
495004,
495005,
495006,
495007,
495008,
495009,
495010,
495011,
495012,
495014,
495015,
495016,
495017,
495018,
495019,
495020,
495021,
495022,0.000554000
495023,0.000801000
495025,0.000969000
495026,0.001193000
495027,0.001381000
495028,0.001621000
495029,0.001813000
495030,0.002024000
495031,
495032,
495033,
495036,0.002459000
495037,
495041,
495042,
495043,
495044,
495045,
495046,
495047,
495049,
495050,
495051,
495052,
495053,
495055,
495057,0.000577000
495058,
