frame.number,tcp.analysis.ack_rtt
99,
105,0.000125000
108,
141,
395,0.047439000
456,
462,0.000129000
1201,
1212,0.000397000
1233,
1267,
1520,0.047929000
1697,
1699,0.000079000
2194,
2195,0.000095000
2199,
2282,
2568,0.047910000
2746,
2747,0.000096000
3782,
3784,0.000087000
3795,
3949,
4280,0.048166000
4495,
4496,0.000097000
5238,
5239,0.000101000
5244,
6567,0.215106000
6606,
6607,0.000101000
6662,
7024,0.065611000
7025,0.000123000
7026,
7214,
7215,0.000106000
7224,
7856,0.142775000
7857,0.000125000
7858,
7880,
8561,0.168525000
8562,0.000112000
8563,
9688,
9689,0.000102000
9694,
9758,
10010,0.047948000
10242,
10243,0.000103000
10855,
10860,0.000101000
10868,
10933,
11213,0.047949000
11464,
11465,0.000098000
12246,
12945,0.158800000
14992,
14994,0.000106000
14997,
15483,0.103014000
15484,0.000127000
15486,
16007,
16008,0.000113000
16014,
16017,
16201,0.047828000
16358,
16359,0.000109000
16835,
16837,0.000118000
16842,
17276,0.103563000
17277,0.000110000
17278,
17382,
17855,0.114020000
17856,0.000113000
17857,
17953,
17963,0.000632000
17972,
18021,
18163,0.048299000
18399,
18400,0.000105000
18453,
18800,0.096376000
18801,0.000118000
18802,
19314,
19315,0.000116000
19321,
19729,0.111315000
19730,0.000119000
19731,
20195,
20198,0.000259000
20201,
20893,0.111154000
20894,0.000117000
20895,
21811,
21812,0.000113000
21819,
22479,0.103017000
22480,0.000116000
22481,
23192,
23193,0.000090000
23207,
24369,0.154028000
25986,
25989,0.000112000
26559,
26561,0.000113000
26571,
27261,0.110892000
27263,0.000104000
27264,
27850,
27852,0.000110000
27860,
28227,0.095131000
28228,0.000129000
28229,
28418,
28419,0.000121000
28423,
28446,
28634,0.048127000
28799,
28800,0.000114000
28839,
29138,0.102984000
29139,0.000125000
29140,
29518,
29520,0.000112000
29524,
29792,0.111365000
29793,0.000127000
29794,
30245,
30247,0.000107000
30250,
30285,
30673,0.047768000
30994,
30995,0.000118000
31318,
31320,0.000108000
31326,
31400,
31402,0.000276000
31440,
31583,0.047917000
31832,
31833,0.000102000
31838,
31842,
31843,
31853,
31956,0.048008000
31957,0.047931000
31958,0.000113000
31959,
31978,0.048817000
31979,0.000100000
31980,
32112,
32113,0.000106000
32327,
32328,0.000111000
32331,
32658,0.119245000
32661,0.000117000
32662,
32968,
32969,0.000110000
32973,
33417,0.106686000
33422,0.000240000
33423,
34257,
34265,0.000142000
34284,
34967,0.111361000
34970,0.000119000
34971,
35492,
35493,0.000107000
35519,
36146,0.110588000
36147,0.000124000
36148,
36803,
36804,0.000109000
36808,
37419,0.103113000
37421,0.000140000
37422,
38044,
38045,0.000102000
38048,
38544,0.110913000
38545,0.000129000
38546,
39189,
39190,0.000116000
39193,
39630,0.102250000
39631,0.000115000
39632,
40246,
40249,0.000159000
40257,
40910,0.118859000
