frame.number,tcp.analysis.ack_rtt
181222,0.016467000
181457,0.079341000
181772,
181773,0.000464000
182162,
182429,
182430,0.000462000
182662,
183007,
183010,0.000462000
183549,
184688,
184691,0.000457000
185011,
185489,
185490,0.000448000
186625,
187152,0.200114000
242090,
242314,
242317,0.000463000
242531,
243175,
243176,0.000487000
244215,
244484,
244485,0.000426000
244744,
244954,
244955,0.000452000
245284,
245585,
245586,0.000473000
245990,
246433,
246434,0.000437000
246729,
246961,
246963,0.000449000
247216,
247683,
247684,0.000387000
248527,
248912,
248913,0.000439000
249498,
249500,0.002335000
249541,
249635,0.049342000
249770,
250205,
250212,0.000470000
250407,
251085,0.230262000
251235,
251238,0.000460000
251453,
251680,
251681,0.000448000
251824,
252122,0.194907000
254400,
254431,
254434,0.000427000
254991,
255026,0.004982000
255498,0.090790000
255615,
255616,0.000444000
255954,
255991,0.015982000
256072,
256351,0.144089000
256354,0.000445000
256410,
256543,0.051735000
256787,
256788,0.000473000
256799,
256974,0.071900000
257082,
257083,0.000454000
257093,
257465,0.090781000
257923,
257927,0.000440000
258009,
258395,0.079960000
258885,
258894,0.000455000
259698,
259729,0.006070000
259920,0.073911000
260128,
260131,0.000484000
260503,
260508,0.001170000
260544,
260743,0.048384000
260854,
261273,
261277,0.000458000
261368,
261718,0.100594000
262387,0.211904000
262485,
262496,0.003644000
262816,0.092491000
263211,0.188791000
264042,
264047,0.006653000
264206,0.057160000
264785,0.192332000
265064,
265650,0.200699000
265879,
265912,0.007283000
266178,0.072763000
266360,
266364,0.000457000
266494,
266499,0.003019000
266742,0.060752000
267145,
267146,0.000484000
267172,
267361,0.048883000
267667,
267673,0.000456000
267716,
267969,0.084706000
268021,
268022,0.000437000
268034,
268290,0.087178000
268720,
268721,0.000437000
268733,
268960,0.076981000
269331,
269333,0.000438000
270152,
270171,0.008492000
270672,0.151582000
270725,
270732,0.000478000
271144,
271149,0.001331000
271351,0.094368000
271488,
271489,0.000432000
271502,
271701,0.098276000
272060,
272061,0.000482000
272075,
272219,0.104872000
272777,0.192028000
272989,
273041,0.013330000
273096,
273433,0.199872000
273442,0.238790000
275594,
275631,0.009277000
275659,
275850,0.048506000
275958,
276490,0.194142000
277265,
277478,
277480,0.000479000
277715,
277965,
277968,0.000473000
278187,
278249,0.014955000
278250,
278253,
278268,
278443,0.048537000
278516,0.048946000
278682,
279012,
279014,0.000463000
279576,
280384,
280393,0.000460000
280954,
280976,0.008694000
281001,
281457,0.048639000
281521,
281715,0.006879000
281733,
281837,0.048492000
282297,
282604,
282609,0.000497000
283032,
283319,
283320,0.000473000
283322,
284217,0.111280000
284223,0.000767000
284877,0.103234000
285399,
285400,0.000486000
286968,
286997,0.015369000
287219,0.095773000
287299,
287300,0.000422000
288686,
288792,
288793,0.000435000
288846,
288928,
288929,0.000447000
289008,
289076,
289077,0.000481000
289166,
289240,
289244,0.000465000
289321,
289361,
289367,0.000444000
289465,
289493,0.008994000
289779,0.107300000
289800,
290217,
290218,0.000493000
291084,
291114,0.008711000
291375,0.087254000
291499,
291506,0.000490000
292674,
292686,0.007912000
292873,0.056032000
293169,
293170,0.000558000
293174,
293411,0.059733000
293900,
293902,0.000424000
293978,
294261,0.064618000
294419,
294420,0.000452000
294451,
294781,0.083744000
295277,
295278,0.000473000
295296,
295461,0.073318000
295867,
295868,0.000473000
296303,
296328,0.013181000
296454,0.066546000
296530,
296531,0.000439000
296861,
296892,0.007955000
297037,0.072098000
297479,
297480,0.000512000
297482,
297653,0.076015000
298041,0.189661000
298306,
298420,0.011392000
298730,0.116679000
299200,0.196376000
299265,
299271,0.003184000
299625,0.076846000
300298,0.188674000
300663,
301151,0.196812000
301863,
301970,
301971,0.000466000
302036,
302052,0.012107000
302165,
302212,0.051692000
302213,0.000432000
302483,
302494,0.006671000
302550,
302738,0.121537000
302739,0.000473000
302744,
302864,0.076294000
303110,
303111,0.000459000
303189,
303395,0.081476000
303446,
303448,0.000414000
303455,
303623,0.100194000
303833,
303834,0.000468000
303875,
304010,0.073808000
304303,
304305,0.000482000
305036,
305064,0.011250000
305204,0.068681000
305235,
305236,0.000475000
305573,
305578,0.005168000
305716,
305928,0.138965000
305929,0.000447000
305931,
306139,
306258,
306259,0.000454000
306291,
306357,
306402,
306676,
306677,0.114632000
307879,
307976,
308013,0.011133000
308022,
308128,
308500,0.196619000
308903,1.181741000
308906,
308908,
308912,0.477781000
314550,
314976,
314980,0.000508000
315325,
315636,
315638,0.000486000
316050,
316310,
316311,0.000449000
316595,
317109,
317110,0.000457000
317135,
317627,0.119216000
318072,
318075,0.000467000
318093,
318240,
318419,0.048834000
318677,
319571,0.202895000
319988,
320962,0.196923000
321240,
321241,0.000998000
321273,
321359,0.048703000
321500,
321510,0.005987000
321528,
321632,0.048779000
321694,
321983,
321984,0.000471000
322179,
322581,
322583,0.000460000
322602,
323264,0.108533000
323275,0.016568000
323487,0.111190000
323802,
323803,0.000426000
325212,
325243,
325258,0.000410000
325315,
325550,0.050230000
325945,
325946,0.000433000
326346,
326401,0.009322000
326544,
327062,0.118769000
327067,0.000587000
327093,
