frame.number,tcp.analysis.ack_rtt
399970,
399972,0.000249000
400333,0.071852000
400353,
400356,0.000304000
400359,
400398,
400399,
400720,0.071616000
400721,
401038,0.073960000
401477,
401479,0.000143000
401485,
401488,
401489,
401912,0.077937000
402202,0.128776000
402206,0.000549000
402207,
402208,
402209,
402211,
402212,
402213,
402214,
402620,0.071759000
402623,
402624,
402648,0.075453000
402649,0.075451000
402652,
402653,
402654,
402655,
402656,
402657,
402716,0.083201000
402718,
402719,
402720,
403068,0.073653000
403069,
403070,
403071,
403080,0.073663000
403081,0.073650000
403083,
403084,
403085,
403086,
403087,
403090,
403140,0.079735000
403141,
403142,
403143,
403144,
403164,0.075862000
403165,
403166,
403167,
403179,0.080074000
403181,
403490,0.073674000
403496,
403497,
403498,
403499,
403510,0.074175000
403511,0.074150000
403512,
403513,
403514,
403515,
403516,
403517,
403522,0.077818000
403523,
403524,
403525,
403548,0.076057000
403551,
403553,
403554,
403595,0.079986000
403596,0.076086000
403599,
403600,
403601,
403602,
403603,
403605,
403665,0.081979000
403666,
403667,
403668,
403918,0.071235000
403919,
403920,
403921,
403928,0.075301000
403930,
403931,
403932,
403940,0.075260000
403941,0.075236000
403942,0.075172000
403943,
403944,
403945,
403946,
403947,
403948,
403949,
403950,
403951,
403972,0.075661000
403973,
403974,
403975,
404014,0.080052000
404015,0.075791000
404016,
404017,
404018,
404019,
404020,
404021,
404046,0.079948000
404047,0.075933000
404048,0.075933000
404051,
404052,
404053,
404054,
404055,
404057,
404058,
404110,0.083619000
404111,
404112,
404113,
404114,
404136,0.081562000
404137,0.081524000
404138,
404139,
404140,
404141,
404143,
404144,
404414,0.077588000
404419,
404420,
404421,
404450,0.077301000
404451,
404452,
404453,
404502,0.085028000
404503,0.081108000
404504,0.081054000
404505,0.080996000
404506,0.080971000
404507,
404508,
404510,
404511,
404512,
404513,
404514,
404515,
404516,
404518,
404519,
404520,
404521,
404522,
404539,0.081056000
404540,0.081016000
404542,
404543,
404544,
404545,
404561,0.081313000
404562,0.081262000
404563,0.081223000
404564,0.077120000
404565,0.077065000
404566,
404567,
404568,
404570,
404571,
404573,
404576,
404577,
404578,
404579,
404601,0.081680000
404602,0.074064000
404603,0.073994000
404604,
404605,
404607,
404608,
404609,
404610,
404631,0.073806000
404633,
404634,
404656,0.077711000
404658,
404660,
404662,0.077988000
404664,
404665,
404872,0.071963000
404874,
404875,
404887,0.075881000
404889,
404890,
404901,0.076416000
404902,
404903,
404915,0.072887000
404916,
404917,
404935,0.076562000
404939,
404941,
404942,0.076752000
404943,0.076702000
404944,0.076657000
404946,0.076641000
404952,
404954,
404955,
404956,
404958,
404960,
404961,
404985,0.080730000
404986,
404987,
405015,0.084631000
405016,0.081167000
405017,0.081136000
405018,0.076433000
405020,
405021,
405022,
405023,
405025,
405026,
405027,
405028,
405049,0.080110000
405050,0.080051000
405052,
405053,
405055,
405056,
405057,0.080313000
405058,0.080295000
405059,0.075915000
405060,
405061,
405062,
405063,
405064,
405081,0.079475000
405082,0.079435000
405083,0.076079000
405085,
405086,
405088,
405089,
405090,
405091,
405105,0.075829000
405107,
405108,0.075695000
405109,
405111,
405112,
405274,0.071639000
405277,
405278,
405287,0.071845000
405289,
405290,
405322,0.075747000
405323,
405324,
405335,0.075726000
405336,
405337,
405353,0.075508000
405354,
405355,
405369,0.079653000
405370,0.079589000
405373,
405374,
405375,
405376,
405378,0.079923000
405379,0.079888000
405380,0.075903000
405382,
405383,
405384,
405386,
405387,
405424,0.075638000
405425,0.075624000
405426,0.075571000
405429,
405432,
405433,0.075742000
405434,
405435,
405436,
405437,
405438,
405440,
405441,
405461,0.075861000
405462,
405463,
405486,0.080014000
405487,0.079718000
405488,0.079693000
405489,0.076111000
405493,
405494,
405495,
405496,
405498,
405499,
405500,
405501,
405513,0.079736000
405516,
405517,
405518,0.079916000
405519,
405520,0.076237000
405521,
405522,
405523,
405524,
405532,0.080072000
405534,
405535,
405678,0.071834000
405680,
405681,
405718,0.075953000
405721,
405722,
405744,0.071796000
405746,
405748,
405817,0.075697000
405822,
405825,
405852,0.076206000
405853,
405854,
405885,0.076186000
405886,0.076160000
405887,0.075800000
405889,
405890,
405891,
405892,
405893,
405894,
405912,0.079487000
405913,0.079479000
405914,
405915,0.075981000
405916,
405917,
405918,
405919,
405920,
405925,0.079731000
405926,0.079706000
405927,0.079624000
405929,0.075949000
405930,
405931,
405932,
405933,
405934,
405935,
405936,
405937,
405980,0.075522000
405981,0.075469000
405985,
405987,
405988,
405989,
406004,0.079521000
406005,0.079481000
406006,0.075995000
406008,0.075977000
406010,
406011,
406012,
406013,
406014,
406015,
406016,
406017,
406034,0.079774000
406035,0.075797000
406037,
406038,
406039,
406040,
406172,0.072545000
406175,
406177,
406219,0.071495000
406222,
406223,
406234,0.071605000
406235,
406236,
406290,0.073366000
406291,
406292,
406351,0.077707000
406352,
406353,
406378,0.077627000
406379,0.077604000
406381,
406382,
406383,
406384,
406411,0.081596000
406412,0.077914000
406413,0.077888000
406414,0.077776000
406415,0.077760000
406416,
406418,
406419,
406420,
406421,
406422,
406423,
406424,
406425,
406439,0.077542000
406440,0.077509000
406441,0.077466000
406442,
406443,
406444,
406445,
406446,
406447,
406467,0.081577000
406468,0.077819000
406469,0.077768000
406472,
406473,
406474,
406476,
406477,
406478,
406500,0.077495000
406501,0.077432000
406502,0.077376000
406503,
406504,
406505,0.077529000
406506,
406507,
406508,
406509,
406511,
406512,
406534,0.077576000
406536,
406537,
406547,0.081723000
406549,
406550,
406625,0.073416000
406626,
406627,
406686,0.078315000
406689,
406690,
406728,0.079921000
406729,
406730,
406807,0.084235000
406809,
406810,
406835,0.079785000
406836,0.075552000
406837,0.075520000
406838,
406839,
406840,
406842,
406843,
406844,
406878,0.075614000
406879,
406880,
406901,0.079667000
406902,0.079625000
406904,
406905,
406907,
406908,
406933,0.083536000
406934,0.080103000
406935,0.080059000
406936,0.080024000
406937,0.075942000
406938,0.075922000
406939,0.075890000
406940,
406941,
406942,
406943,
406945,
406946,
406947,
406948,
406949,
406951,
406952,
406953,
406954,
406964,0.079469000
406965,0.075513000
406967,
406968,
406969,
406970,
406992,0.079715000
406993,0.079656000
406994,0.079587000
406995,0.075979000
406996,
406997,
406998,
406999,
407000,
407001,
407002,
407056,0.083120000
407057,
407058,
407059,
407120,0.077554000
407121,
407122,
